"","ModelName","ANN","RF","SVM"
"NA","Full model",NA,NA,NA
"NA.1","Full model-Semantic",NA,NA,NA
"NA.2","Full model-Performative",NA,NA,NA
"NA.3","Coupled sentiment-words",NA,NA,NA
"NA.4","Coupled sentiment-docs",NA,NA,NA
"NA.5","Total Sentiment",NA,NA,NA
"NA.6","Topic Models",NA,NA,NA
"NA.7","ACOM",NA,NA,NA
"NA.8","Semco",NA,NA,NA
"NA.9","Perceived Judgements",NA,NA,NA
"NA.10","Number Judgements",NA,NA,NA
"NA.11","Total Judgements",NA,NA,NA
"NA.12","Networks",NA,NA,NA
"NA.13","Optimal Model",NA,NA,NA
