"","Actual","ANN","OL","RF","SVM"
"1",4,3.79200685021201,0,4.073,4.19995318154819
"2",4,3.79165428295904,0,5.98,4.56369710848358
"3",4,3.79202832344187,0,4.0945,4.11276135388659
"4",4,3.7924832345562,0,1.78733333333333,2.85294505708437
"10",4,3.79166827028257,0,5.1645,4.58253502078052
"11",4,3.79276491204425,0,3.83433333333333,3.72527138474816
"12",4,3.79247605043161,0,1.95366666666667,2.84151770429755
"13",4,3.79243600149983,0,2.15333333333333,2.79970843434388
"14",4,3.79221017764444,0,2.29883333333333,3.27878992717577
"15",4,3.79223091235022,0,2.7645,3.19273722523731
"18",4,3.792012357791,0,4.025,4.17813761658249
"19",4,3.79186776610913,0,5.70083333333333,4.59076994795326
"20",4,3.79187606033598,0,5.1765,4.57707908998525
"80",4,3.79270867030965,0,1.5235,3.55396881829935
"86",4,3.79254276710094,0,2.41916666666667,2.98762343882877
"87",4,3.79248234771851,0,1.78733333333333,2.85147287505973
"88",4,3.79246296677359,0,3.07233333333333,2.82369528022983
"94",4,3.79255797695836,0,1.89,3.03178416911243
"136",8,3.79331968285058,0,4.08466666666667,3.61962349696103
"139",3,3.7922225570189,0,3.7905,3.22674785516678
"140",3,3.79220669231548,0,2.29883333333333,3.2937692619184
"141",3,3.7911623388344,0,4.47616666666667,4.17834836881055
"148",2,3.7926750482527,0,2.68166666666667,3.43712796853317
"149",2,3.79228929030241,0,2.9965,2.98632192556301
"150",2,3.79267930429738,0,2.68166666666667,3.45228294563474
"151",2,3.79255834473301,0,1.89,3.03289229286011
"152",2,3.79278604279433,0,3.831,3.77839679500961
"153",2,3.79248118991128,0,1.78733333333333,2.84957679549232
"154",2,3.79226839235188,0,1.69283333333333,3.05326141741216
"171",6,3.79184322549254,0,5.27266666666667,4.6238725601753
"172",6,3.79194358269803,0,3.86866666666667,4.41871721865723
"173",6,3.79202281087015,0,3.7205,4.13567968028801
"174",6,3.79185809797519,0,5.1655,4.6051276204306
"188",4,3.79141390986589,0,4.079,4.1987288481313
"190",4,3.7912732492756,0,5.753,4.12829880712655
"191",4,3.79158362671303,0,4.20266666666667,4.45257535864794
"192",4,3.79140097409052,0,4.079,4.18564630614559
"193",4,3.79148119733427,0,6.2765,4.28505199476129
"195",4,3.79139752413152,0,4.079,4.18237045359178
"198",4,3.79183117802764,0,5.89883333333333,4.63612390781242
"199",4,3.79109610432231,0,4.42616666666667,4.23947552336174
"201",4,3.79131493629578,0,4.793,4.1324067479862
"202",4,3.79143144711042,0,4.556,4.21840972307631
"203",4,3.7915277397369,0,4.56766666666667,4.35837611789923
"205",4,3.79112138262154,0,4.42616666666667,4.21420409359779
"206",4,3.79126103435271,0,5.753,4.12968112531723
"260",7,3.79216463622685,0,4.03283333333333,3.48341597033306
"261",7,3.79201323303453,0,4.025,4.17463472955065
"262",7,3.7918485409351,0,5.1805,4.61763560962473
"263",7,3.79175144452776,0,6.703,4.65542283314951
"264",7,3.79159744213734,0,4.29516666666667,4.47567698684831
"265",7,3.79171756072027,0,6.41616666666667,4.63513995195891
"266",7,3.79153537991189,0,4.56766666666667,4.37106283155841
"267",7,3.79154322414213,0,4.33966666666667,4.38420503471355
"287",1,3.79232007903132,0,2.20716666666667,2.90417326876734
"288",1,3.79218233916217,0,3.80616666666667,3.40185184778294
"289",1,3.79232269592472,0,2.20716666666667,2.89816237356813
"290",1,3.7917815998543,0,6.055,4.66008277365855
"291",1,3.79190985880014,0,6.05816666666667,4.50815617042807
"292",1,3.79245916008658,0,3.07233333333333,2.81925332174801
"293",1,3.79278105761528,0,3.881,3.76650730379582
"294",1,3.79245641358924,0,3.07233333333333,2.81626051943405
"295",1,3.79249422736522,0,1.76733333333333,2.87259908827267
"296",1,3.79246473415382,0,3.07233333333333,2.8258727935553
"297",1,3.79239237203692,0,2.00083333333333,2.79921304300079
"298",1,3.79224982667367,0,2.25133333333333,3.11948703292153
"299",1,3.7916330622451,0,4.6705,4.53264027751789
