"","Actual","ANN","OL","RF","SVM"
"1",4,3.6333055790019,0,3.85883333333333,3.87831462727272
"2",4,4.16857986629181,0,5.97516666666667,4.25536505698038
"3",4,4.32826501275678,0,3.3065,4.0302933468446
"4",4,4.0658183803429,0,4.54466666666667,3.96217566703794
"10",4,4.24426698344448,0,3.61333333333333,4.10819781867568
"11",4,3.15894483494409,0,2.85766666666667,2.64378399744496
"12",4,4.33050041989577,0,4,3.8934985721958
"13",4,4.13320320239168,0,4.37616666666667,3.99421639888494
"14",4,4.15266580602059,0,3.91416666666667,4.16074465376644
"15",4,3.7626420545361,0,3.80533333333333,3.90117583115984
"18",4,4.34997590560025,0,3.369,3.74257486489741
"19",4,4.13207180386623,0,3.8825,3.85254587993979
"20",4,3.18157955296925,0,2.53733333333333,2.24000979632941
"80",4,3.9941329338489,0,4.87583333333333,4.1541218307256
"86",4,4.01160835781032,0,4.0885,3.94399723438862
"87",4,4.52979311972394,0,4.11,3.85084666921252
"88",4,4.30646470587225,0,4.07066666666667,3.78774272211318
"94",4,4.2490143828234,0,4.04683333333333,4.01733833738802
"136",8,4.62952674346031,0,5.22683333333333,3.77694093883819
"139",3,4.73439632006231,0,5.28666666666667,4.21272970822542
"140",3,4.54847652181005,0,4.49833333333333,3.85655172137718
"141",3,4.14088480368045,0,4.47183333333333,3.5836335280213
"148",2,3.96641585915129,0,3.73383333333333,3.98637330324618
"149",2,4.00651845487201,0,6.19533333333333,4.1814296558112
"150",2,4.19930824241277,0,5.9545,4.23660757147603
"151",2,3.87088986539848,0,3.67866666666667,3.97769183918275
"152",2,4.33126079120628,0,3.693,3.54697410838895
"153",2,4.41691145297296,0,4.60116666666667,3.99261152601418
"154",2,4.39023017994436,0,3.20266666666667,3.80698600524892
"171",6,3.79778158904383,0,4.538,4.10261689850345
"172",6,4.45982082521443,0,3.97733333333333,3.47540687596813
"173",6,4.53324075195589,0,4.66233333333333,3.69163040302767
"174",6,4.04518220066394,0,4.9015,3.54394056876518
"188",4,4.35306816363535,0,4.10383333333333,3.94656584105708
"190",4,3.81026986191783,0,5.98966666666667,3.99455852540664
"191",4,4.0122117757665,0,3.45383333333333,4.04584865286038
"192",4,4.22521647533739,0,4.04566666666667,3.87267938732374
"193",4,3.43998437226426,0,2.8775,3.16731702968053
"195",4,4.5276984196169,0,4.02733333333333,3.85503775999346
"198",4,4.32738733337245,0,4.5045,4.11604375461607
"199",4,3.05549692547326,0,2.198,2.83993815184049
"201",4,4.37157819728862,0,3.4745,4.03985689844593
"202",4,4.28456053805474,0,3.992,3.94032112430967
"203",4,3.81747909289508,0,3.581,4.13049397852495
"205",4,3.69813882053817,0,4.23035714285714,4.00461213052583
"206",4,4.16041902806944,0,4.005,3.90654099237965
"260",7,3.88398472121262,0,2.82083333333333,3.99390665047893
"261",7,4.34679246873968,0,3.71666666666667,3.98938028096764
"262",7,4.11347251773175,0,4.65316666666667,4.20245361107274
"263",7,4.16638647548727,0,3.91283333333333,4.12070974594424
"264",7,3.59608729736285,0,3.752,3.378861444309
"265",7,4.19410189000443,0,4.0345,4.20577740852765
"266",7,4.12767443483165,0,4.6855,4.17274711308981
"267",7,3.93003507787913,0,5.58216666666667,4.17805982873397
"287",1,3.15319317810254,0,2.8025,3.91234539590316
"288",1,2.30137606461502,0,1,1.07150013504141
"289",1,1.93141439738971,0,1.1635,0.815068598630528
"290",1,0.866862407987618,0,2.606,1.52830218862404
"291",1,1.12614571288928,0,1.03,1.02064805022879
"292",1,4.00644138729623,0,3.49583333333333,3.9411431393953
"293",1,2.75292459349827,0,1.1345,1.35352299517321
"294",1,0.918965406179066,0,1.03,1.03227195401171
"295",1,3.0097211399979,0,1.333,1.88198022590966
"296",1,2.06914001678735,0,1.4205,0.7038128130642
"297",1,2.83143570822187,0,1.18366666666667,1.60162388658017
"298",1,3.26020050090902,0,2.97983333333333,2.58847543711372
"299",1,1.1854359507074,0,1.1285,1.25128383372014
