"","Actual","ANN","OL","RF","SVM"
"1",4,3.79134924633312,0,4.04933333333333,4.11449443729474
"2",4,3.79134924633312,0,4.59933333333333,3.85286323842934
"3",4,3.79134924633312,0,4.07066666666667,4.00344150352451
"4",4,3.79134924633312,0,2.966,3.81364576352522
"10",4,3.79134924633312,0,4.48983333333333,4.52007477336325
"11",4,3.79134924633312,0,3.83866666666667,4.30703303064714
"12",4,3.79134924633312,0,3.72,3.71958967528361
"13",4,3.79134924633312,0,3.97,3.50111495772407
"14",4,3.79134924633312,0,4.381,4.23633682487381
"15",4,3.79134924633312,0,4.04,3.85238847380041
"18",4,3.79134924633312,0,4.141,4.18277435313902
"19",4,3.79134924633312,0,4.3195,4.37786806578547
"20",4,3.79134924633312,0,4.58616666666667,3.79725363830267
"80",4,3.79134924633312,0,4.12083333333333,4.0931200548694
"86",4,3.79134924633312,0,3.01833333333333,3.26486191199278
"87",4,3.79134924633312,0,4.0475,4.47727795139014
"88",4,3.79134924633312,0,4,4.24578322957774
"94",4,3.79134924633312,0,4.84633333333333,4.37001174476687
"136",8,3.79134924633312,0,5.5,4.90141194396782
"139",3,3.79134924633312,0,2.45766666666667,2.09136762438339
"140",3,3.79134924633312,0,2.418,1.60326338116009
"141",3,3.79134924633312,0,5.09033333333333,6.3059906775524
"148",2,3.79134924633312,0,1.95766666666667,2.14373071700679
"149",2,3.79134924633312,0,1.99683333333333,1.8649054121734
"150",2,3.79134924633312,0,2.07766666666667,2.36770368200763
"151",2,3.79134924633312,0,2.01966666666667,2.04852079042943
"152",2,3.79134924633312,0,2.15466666666667,2.45199575456576
"153",2,3.79134924633312,0,2.0475,2.14970909957458
"154",2,3.79134924633312,0,2.2905,1.93233156096281
"171",6,3.79134924633312,0,5.467,6.11603476494662
"172",6,3.79134924633312,0,5.284,5.96617897408627
"173",6,3.79134924633312,0,5.4735,5.69192115413722
"174",6,3.79134924633312,0,5.608,5.77082420342674
"188",4,3.79134924633312,0,4.0715,4.68721737524664
"190",4,3.79134924633312,0,4.1555,4.14424828483332
"191",4,3.79134924633312,0,3.985,4.92907779048978
"192",4,3.79134924633312,0,4,3.8159298242435
"193",4,3.79134924633312,0,4.235,4.39763146063991
"195",4,3.79134924633312,0,4.056,4.21817883267709
"198",4,3.79134924633312,0,4.594,4.48249462736505
"199",4,3.79134924633312,0,4.17666666666667,4.50457814391144
"201",4,3.79134924633312,0,4.12083333333333,3.97689736243075
"202",4,3.79134924633312,0,4,4.36530910691742
"203",4,3.79134924633312,0,4.199,4.13191797077733
"205",4,3.79134924633312,0,4.04466666666667,3.81187996335009
"206",4,3.79134924633312,0,4.11016666666667,4.33345908322362
"260",7,3.79134924633312,0,5.36133333333333,5.52118863973013
"261",7,3.79134924633312,0,6.05466666666667,6.46563546452249
"262",7,3.79134924633312,0,6.89266666666667,5.94289592576793
"263",7,3.79134924633312,0,6.10666666666667,6.05551391824699
"264",7,3.79134924633312,0,6.25866666666667,5.63936253124174
"265",7,3.79134924633312,0,6.994,6.8561962231429
"266",7,3.79134924633312,0,5.297,6.24462924052885
"267",7,3.79134924633312,0,5.30716666666667,6.49484316638662
"287",1,3.79134924633312,0,1.92083333333333,2.04128354753494
"288",1,3.79134924633312,0,2.705,2.72328747687063
"289",1,3.79134924633312,0,1.6535,1.93419334176653
"290",1,3.79134924633312,0,4.55216666666667,4.49587430139224
"291",1,3.79134924633312,0,5.47283333333333,6.15381093087304
"292",1,3.79134924633312,0,2.715,2.41418347629522
"293",1,3.79134924633312,0,2.09216666666667,2.22567097623549
"294",1,3.79134924633312,0,1.02,1.21874249550467
"295",1,3.79134924633312,0,2.5475,2.4868691769969
"296",1,3.79134924633312,0,1.413,2.12353341840251
"297",1,3.79134924633312,0,1,0.767324818066148
"298",1,3.79134924633312,0,1.0475,1.18816619311563
"299",1,3.79134924633312,0,5.45683333333333,6.37436297151094
