"","Actual","ANN","OL","RF","SVM"
"1",4,5.60594071622389,0,5.66816227832046,4.10027942998719
"2",4,5.61275536944995,0,6.0446352220434,4.1002973820999
"3",4,5.81119635651834,0,5.4619886186468,4.10030360536212
"4",4,5.76778061687932,0,5.52472671388489,4.1002926827945
"10",4,5.75814231433028,0,5.49765528531347,4.10029999135721
"11",4,3.29096547013876,0,3.64341800356506,3.90028741132209
"12",4,5.8619023308744,0,5.78957192807193,4.0173003368786
"13",4,5.7730879029835,0,5.46008385674204,4.10029526966938
"14",4,6.03699994675217,0,6.07986738261738,4.01729176055877
"15",4,5.97835283392562,0,5.61816417406123,4.01727847489821
"18",4,5.92670771778442,0,5.4147386186468,4.10030405668887
"19",4,6.13294224323772,0,5.78395829170829,4.01729038329539
"20",4,5.69760991147243,0,4.8473427454898,4.01726471653692
"80",4,3.43679115470562,0,4.12287809042809,3.8663610673997
"86",4,2.43270005397471,0,3.97637899734674,3.86636339070224
"87",4,3.65161379381401,0,4.07532142158916,3.8663853236586
"88",4,2.73366031686576,0,4.00048808825583,3.86637496202871
"94",4,5.29160522255907,0,4.18048808825583,3.90410270844034
"136",8,3.49612944223245,0,3.86776365394588,3.07403580293482
"139",3,4.35751985249381,0,4.46825304386715,3.07404400250496
"140",3,3.59077220046388,0,3.82550328930329,3.60226654707284
"141",3,3.35167009447659,0,3.41640711695712,3.60224657677856
"148",2,3.14397771341693,0,2.67287110229893,3.07400343761142
"149",2,2.81387386104179,0,2.50100777363413,3.07400501997859
"150",2,2.9582811160825,0,2.49065985464491,3.07401242571574
"151",2,2.75926387326811,0,2.55904698932041,3.07400044877077
"152",2,3.48830101687081,0,3.24929564509565,3.60225469736062
"153",2,3.35829254556836,0,2.48987128267411,3.07402247124611
"154",2,5.78590891082516,0,4.12457782587783,3.90410774365148
"171",6,3.62957732756648,0,2.92109644859062,3.82862243284802
"172",6,4.41996911354939,0,3.0361010273452,3.82864800747015
"173",6,4.43601890044179,0,3.15581531305948,3.82865239216318
"174",6,0.631618050345778,0,4.63681862211862,3.86636125422789
"188",4,3.82102735017762,0,4.0489547549225,3.90035141617764
"190",4,3.54197149000996,0,4.31096774193548,3.90033097445363
"191",4,4.21301980115928,0,4.04578417508417,3.8993903433353
"192",4,3.28118490189694,0,4.00066471163245,3.90034128445682
"193",4,3.40629967210441,0,3.91984652981427,3.8993748990556
"195",4,3.81909348798104,0,4.03477380254154,3.89941498249746
"198",4,4.05419250852849,0,4.24023397570172,3.90034971233358
"199",4,2.73740286911321,0,2.45586312433087,3.90030802209726
"201",4,4.04475817908639,0,3.9819547549225,3.90035189950519
"202",4,3.64258050529762,0,3.9989547549225,3.90034849833666
"203",4,2.89422948678251,0,3.89547423544198,3.90033228561022
"205",4,5.23253044082594,0,5.51826455104773,4.10028255815997
"206",4,5.24714009959583,0,4.88257790436109,4.10029808493359
"260",7,4.8875808562074,0,5.10472687549236,3.97955124734865
"261",7,4.91264919253279,0,4.50804311916154,3.97956952311312
"262",7,3.56706698366443,0,4.10704475709476,3.86636524765717
"263",7,3.72359328156493,0,3.99012051467051,3.86636707618144
"264",7,3.09110321306394,0,3.87189154853861,3.86634936169155
"265",7,3.35382561768292,0,4.00848808825583,3.86636891451657
"266",7,3.63035203318413,0,4.15587809042809,3.86636569878134
"267",7,2.52631007906308,0,2.46145793156798,3.07400268124846
"287",1,3.06091606944826,0,2.78377540503262,3.90030829571711
"288",1,3.56331995914505,0,1.9774440267335,3.89935212751186
"289",1,3.10435999665995,0,1.9904440267335,3.89934718881255
"290",1,3.03767255999029,0,2.23684085213033,3.90027230771759
"291",1,3.12365943603174,0,1.8254440267335,3.89933613130246
"292",1,4.57750485188333,0,4.09881808561809,3.90032881231991
"293",1,3.54155740411651,0,2.09653174603175,3.90029932699949
"294",1,2.87541673399517,0,1.8254440267335,3.90027322047334
"295",1,3.53060527086408,0,2.14079100529101,3.90030441702711
"296",1,3.35229400993138,0,1.9934440267335,3.89934883227618
"297",1,3.5313658848985,0,2.0849440267335,3.89936161798534
"298",1,3.62313188012556,0,3.54980112044818,3.90030970665712
"299",1,2.43878449386224,0,2.06041176866898,3.90027725135317
