"","Actual","ANN","OL","RF","SVM"
"1",4,6.13964365577666,0,4.26383333333333,3.97930547489702
"2",4,6.14284310447741,0,4.699,3.85347623181861
"3",4,6.43776817737259,0,4.28233333333333,4.32592711668727
"4",4,6.38593531632832,0,3.85466666666667,2.88138132910911
"10",4,7.40847704356568,0,4.56033333333333,3.97127924254281
"11",4,5.85149415061497,0,3.53016666666667,2.13508514129229
"12",4,5.92514586974079,0,4.132,1.95931160741052
"13",4,5.08626837670453,0,4.11,3.89286064997202
"14",4,6.10455641161948,0,4.21066666666667,4.27653812357756
"15",4,5.41881720492101,0,4.13666666666667,4.02308357073943
"18",4,6.78762932845418,0,4.43766666666667,3.97342435856435
"19",4,7.14968755932102,0,4.45,4.33622344688898
"20",4,6.12946339904565,0,4.384,4.16306768397456
"80",4,4.06242845818368,0,3.93416666666667,3.95053295814338
"86",4,4.43507238997802,0,3.57697368421053,4.1417754421713
"87",4,5.18764165778962,0,4.081,4.04051504613804
"88",4,5.18862985122714,0,4,4.20303751063705
"94",4,2.56398214040269,0,5.01083333333333,5.80013199534623
"136",8,5.88891050226339,0,5.08807142857143,2.97526477662942
"139",3,2.97329254915883,0,2.84318546365915,2.95343036813725
"140",3,2.45570320450437,0,2.81885213032581,2.97526453342167
"141",3,5.72980247367782,0,4.75266666666667,3.82724904889983
"148",2,1.48779851550429,0,2.02335213032581,2.12885656674363
"149",2,2.37039991192831,0,2.06718546365915,2.18247014811882
"150",2,2.30573672291108,0,2.27635213032581,2.11861832774158
"151",2,2.19338274113292,0,1.95551879699248,2.24985722867501
"152",2,1.19794130332393,0,2.38751879699248,2.70226714471496
"153",2,1.63735662440773,0,2.00251879699248,2.09662045634413
"154",2,4.5210971982198,0,2.22301879699248,2.18330929931872
"171",6,4.99515104156428,0,4.472,3.95391686999371
"172",6,5.70700989650823,0,5.07016666666667,4.25160946209311
"173",6,5.26459696846231,0,5.21016666666667,4.10310145860429
"174",6,6.38539884212681,0,5.30866666666667,3.91725393161946
"188",4,4.44779070521053,0,4.02666666666667,4.07557725479511
"190",4,4.16716386834873,0,4.72866666666667,3.96239547733996
"191",4,4.04980265451491,0,4.48916666666667,3.95424564022462
"192",4,3.33749328586117,0,4,3.98910371644402
"193",4,3.26592814583396,0,4.29583333333333,3.88442876419078
"195",4,4.68357782134772,0,4.025,4.06218139589995
"198",4,3.34054517315997,0,4.61433333333333,3.95758778339262
"199",4,4.12330508061913,0,4.2595,4.0274725107267
"201",4,4.37290477114791,0,4.085,4.1117656786405
"202",4,3.98780900485207,0,4,3.94959012632802
"203",4,3.09883120295643,0,4.097,3.99404088965651
"205",4,6.3936987613374,0,4.285,3.94648847539956
"206",4,6.42183470902128,0,4.27666666666667,3.9648595330704
"260",7,5.04092871939571,0,5.76933333333333,6.68797270217252
"261",7,6.13027956420716,0,6.17333333333333,6.92308490283885
"262",7,4.63262804844362,0,6.846,6.97515890669106
"263",7,7.32872594017259,0,6.33366666666667,7.02477098166964
"264",7,6.85158882223201,0,6.39583333333333,6.87592131703975
"265",7,6.9291154813074,0,6.535,6.79274351636188
"266",7,7.60408390224717,0,5.2,4.15292549687414
"267",7,4.07218636867773,0,5.13666666666667,4.06051432271524
"287",1,1.77531110517683,0,1.7295,1.84799513030038
"288",1,2.51191384903346,0,2.35183333333333,1.33450108776186
"289",1,1.91514048700221,0,1.3145,2.41468034286598
"290",1,3.38452705789584,0,4.194,4.10163593445029
"291",1,3.46364941229318,0,4.63,4.92642569255011
"292",1,3.22915275073622,0,2.84283333333333,2.88509308418691
"293",1,2.66749159225396,0,1.295,1.39504083020588
"294",1,1.17797590971871,0,1.05,0.923697791355672
"295",1,2.37821601537416,0,2.28433333333333,2.34675106234366
"296",1,1.62251356060325,0,1.0825,2.10745407976145
"297",1,2.51944684377427,0,1.08,0.675655543143022
"298",1,3.31123909030931,0,2.16237844611529,0.752537889899418
"299",1,3.91009822086009,0,4.53233333333333,4.15942079270822
