"","Actual","ANN","OL","RF","SVM"
"1",4,3.79268270730739,0,4.167,4.39609737137448
"2",4,3.7925359445181,0,5.32,3.95310241793091
"3",4,3.7926827075148,0,3.99133333333333,4.34410078959439
"4",4,3.7926827075148,0,2.62816666666667,2.25411120279891
"10",4,3.79268270500261,0,4.191,4.12949091676494
"11",4,3.7926827075148,0,3.966,3.45694741454827
"12",4,3.7926827075148,0,4.334,3.39830662251075
"13",4,3.7926827075148,0,4.215,3.98239261901314
"14",4,3.7926827075148,0,5.91,4.64320901161815
"15",4,3.79268270748698,0,4.507,4.19530071428613
"18",4,3.79268270411437,0,4.06,4.19172635649676
"19",4,3.7926827075148,0,4.353,4.47007492150325
"20",4,3.7926827075148,0,5.87083333333333,4.5057697658042
"80",4,3.7926827075148,0,4.409,4.11230055730323
"86",4,3.7926827075148,0,2.457,3.56458011387473
"87",4,3.79268270751276,0,5.22983333333333,3.93958913722527
"88",4,3.7926827075148,0,4.23116666666667,4.21698392193121
"94",4,3.7926827075148,0,4.35366666666667,4.27261739680499
"136",8,3.7926827075148,0,5.45,4.57358230782533
"139",3,3.7926827075148,0,2.23033333333333,1.7481682527047
"140",3,3.7926827075148,0,2.07966666666667,2.46864040616218
"141",3,3.76915174595592,0,4.967,3.85975896281831
"148",2,3.7926827075148,0,1.87016666666667,1.80862746840942
"149",2,3.7926827075148,0,2.00233333333333,2.2642653552596
"150",2,3.7926827075148,0,2.015,1.90013116541599
"151",2,3.7926827075148,0,1.66,1.81491496674858
"152",2,3.7926827075148,0,1.555,1.90064517443755
"153",2,3.7926827075148,0,2.375,2.23653466364828
"154",2,3.7926827075148,0,2.06,2.140562842378
"171",6,3.7926827075148,0,4.56066666666667,4.33499043651782
"172",6,3.79268270751194,0,4.63216666666667,4.50035685787775
"173",6,3.7926827075148,0,4.80583333333333,4.54215328385119
"174",6,3.7926827075148,0,5.29716666666667,4.33234823152381
"188",4,3.79268270751314,0,4.62133333333333,4.54109036575347
"190",4,3.79268270742346,0,4.633,4.40172900127045
"191",4,3.79268270733629,0,4.042,4.22180199950674
"192",4,3.79268270523389,0,4.012,4.21166578151276
"193",4,3.78883667121662,0,4.2285,3.87341336991256
"195",4,3.79268270751479,0,4.052,4.27547932788467
"198",4,3.7926827075148,0,5.75216666666667,4.48924297709768
"199",4,3.79268269213836,0,4.3235,4.25722497113152
"201",4,3.79267475949339,0,4.02333333333333,3.97340711541738
"202",4,3.79267101057006,0,4.02333333333333,3.96538795202571
"203",4,3.79203098643429,0,4.3845,3.90750319854181
"205",4,3.7926631548801,0,4.02333333333333,3.9622901339654
"206",4,3.79268270751283,0,4.37433333333333,4.56749506983962
"260",7,3.7926827075148,0,4.8285,4.46076784593395
"261",7,3.7926827075148,0,4.4685,4.37385658879413
"262",7,3.7926827075148,0,5.758,4.40915638802617
"263",7,3.7926827075148,0,4.25616666666667,4.17469327376546
"264",7,3.7926827075148,0,4.339,4.4456647599789
"265",7,3.7926827075148,0,5.949,4.59304300219836
"266",7,3.7926827075148,0,5.92683333333333,4.50238581469043
"267",7,3.79268204081604,0,4,4.03365543897251
"287",1,3.7926827075148,0,3.46883333333333,2.99395957583906
"288",1,3.7926827075148,0,3.73116666666667,3.1484157553512
"289",1,3.7926827075148,0,2.00666666666667,2.67392725825883
"290",1,3.7926827075148,0,4.74116666666667,4.37137878834717
"291",1,3.79268270751456,0,5.75666666666667,4.63530836574131
"292",1,3.7926827075148,0,3.0205,2.73249676810209
"293",1,3.7926827075148,0,1.21583333333333,0.633308494532878
"294",1,3.7926827075148,0,1.37633333333333,1.55616768757104
"295",1,3.7926827075148,0,3.1305,2.94809704328692
"296",1,3.7926827075148,0,2.47916666666667,2.55897077092283
"297",1,3.7926827075148,0,1,0.963185714616279
"298",1,3.7926827075148,0,1.0275,1.16750396803266
"299",1,3.7926827075148,0,6.25516666666666,4.60641397527237
