"","Actual","ANN","OL","RF","SVM"
"1",4,3.79170438218255,0,4.004,3.86569447151206
"2",4,3.79170438218255,0,4.004,3.93207853522822
"3",4,3.79170438218255,0,3.75383333333333,3.81479029805151
"4",4,3.79170438218255,0,3.936,4.27793754833044
"10",4,3.79170438218255,0,4.004,3.8786983902328
"11",4,3.79170438218255,0,3.958,3.88068778803828
"12",4,3.79170438218255,0,3.5665,3.84426828465336
"13",4,3.79170438218255,0,4.004,3.85300608750261
"14",4,3.79170438218255,0,4.07283333333333,3.81716428468191
"15",4,3.79170438218255,0,4.004,3.82829492320338
"18",4,3.79170438218255,0,4.004,3.87645044200081
"19",4,3.79170438218255,0,4.7075,3.81498121621742
"20",4,3.79170438218255,0,4.18533333333333,3.81490459039845
"80",4,3.79170438218255,0,3.08528571428571,4.03375139542037
"86",4,3.79170438218255,0,4.276,4.12506264825851
"87",4,3.79170438218255,0,3.76266666666667,3.92933279505048
"88",4,3.79170438218255,0,4,4.10249127826634
"94",4,3.79170438218255,0,5.1825,4.20329213552691
"136",8,3.79170438218255,0,2,2.0688641326266
"139",3,3.79170438218255,0,3.07033333333333,3.84377366090663
"140",3,3.79170438218255,0,3.07033333333333,3.11651601851552
"141",3,3.79170438218255,0,3.21464285714286,3.82467044238651
"148",2,3.79170438218255,0,2.10666666666667,2.18380265420357
"149",2,3.79170438218255,0,3.75066666666667,2.17689419325866
"150",2,3.79170438218255,0,2,2.08497667859815
"151",2,3.79170438218255,0,2,2.02024139900023
"152",2,3.79170438218255,0,2.33066666666667,2.18534270949002
"153",2,3.79170438218255,0,2,2.09124338765323
"154",2,3.79170438218255,0,2,2.0227804984819
"171",6,3.79170438218255,0,3.958,3.88452393063949
"172",6,3.79170438218255,0,4.7075,3.81498121621742
"173",6,3.79170438218255,0,3.35733333333333,3.82999507954713
"174",6,3.79170438218255,0,2.97,3.84255281756176
"188",4,3.79170438218255,0,4.8105,3.91997595416871
"190",4,3.79170438218255,0,3.88125,3.96080327289391
"191",4,3.79170438218255,0,4.6275,4.022417059102
"192",4,3.79170438218255,0,3.8205,3.94556882172568
"193",4,3.79170438218255,0,2.95283333333333,4.00932396980389
"195",4,3.79170438218255,0,3.8685,3.93412215710562
"198",4,3.79170438218255,0,3.08528571428571,4.04135204584982
"199",4,3.79170438218255,0,3.08528571428571,4.0356486272695
"201",4,3.79170438218255,0,2.46133333333333,3.86847366944122
"202",4,3.79170438218255,0,2.652,3.9712518840204
"203",4,3.79170438218255,0,3.8205,3.94723377977481
"205",4,3.79170438218255,0,3.28197619047619,4.00746706868837
"206",4,3.79170438218255,0,2.36628571428571,3.95566407304747
"260",7,3.79170438218255,0,5.763,4.29649646625425
"261",7,3.79170438218255,0,6.4,4.29083039328086
"262",7,3.79170438218255,0,5.92,4.28177654916553
"263",7,3.79170438218255,0,6.7905,4.25877908237013
"264",7,3.79170438218255,0,3.907,4.22579675803633
"265",7,3.79170438218255,0,5.793,4.29703277446565
"266",7,3.79170438218255,0,4,4.07769472002662
"267",7,3.79170438218255,0,3.08528571428571,4.03944906787644
"287",1,3.79170438218255,0,2.47233333333333,3.82243188926827
"288",1,3.79170438218255,0,2.33183333333333,3.82816088036478
"289",1,3.79170438218255,0,2.75207142857143,3.89247680955539
"290",1,3.79170438218255,0,3.958,3.88323467376897
"291",1,3.79170438218255,0,4.03,4.11883627001843
"292",1,3.79170438218255,0,3.10683333333333,4.01304848029189
"293",1,3.79170438218255,0,3.63666666666667,4.29192639953977
"294",1,3.79170438218255,0,2.47233333333333,3.822887691558
"295",1,3.79170438218255,0,2.3465,3.96426157583036
"296",1,3.79170438218255,0,4.28883333333333,3.9169252028385
"297",1,3.79170438218255,0,3.71714285714286,3.90364131481468
"298",1,3.79170438218255,0,3.38228571428571,3.90945364469485
"299",1,3.79170438218255,0,2.75207142857143,3.89247680955539
