"","Actual","ANN","OL","RF","SVM"
"1",4,3.88206677174914,0,3.928,3.91109987230567
"2",4,3.60751511120084,0,6.1155,4.06232475915289
"3",4,3.70034095363139,0,1.291,3.80486886294505
"4",4,4.0528757349893,0,4.51133333333333,4.14371109709701
"10",4,4.0854672107654,0,4.72633333333333,4.1938069732636
"11",4,4.33153340396763,0,4.93266666666667,4.57456079058244
"12",4,3.9116334600118,0,3.8,3.94552578005376
"13",4,3.62784761362095,0,5.37083333333333,3.8526451686377
"14",4,4.01904143088037,0,4.46183333333333,4.09281497109671
"15",4,3.70780189673584,0,1.235,3.80536113896607
"18",4,4.12698240527879,0,4.92116666666667,4.25850950864115
"19",4,3.87287181137061,0,4.03133333333333,3.90114250786085
"20",4,3.6870426028995,0,2.2825,3.80458245009109
"80",4,3.61104984914466,0,5.183,3.99711273946468
"86",4,3.61475980147533,0,4.015,3.9461097977056
"87",4,3.62586683483354,0,5.77983333333333,3.86114956999849
"88",4,3.6324941293928,0,3.65483333333333,3.83737210171026
"94",4,3.6353227601557,0,3.97116666666667,3.83054593724051
"136",8,3.61340545973934,0,4.025,3.96293844176452
"139",3,3.59623628302917,0,5.0105,4.3224827467999
"140",3,3.61333385836605,0,4.025,3.96388205693925
"141",3,3.81942086446451,0,4.03133333333333,3.85171181569711
"148",2,3.59200261309727,0,2.856,3.51198867117869
"149",2,3.59262957159217,0,3.854,3.8425044747485
"150",2,3.60457453161052,0,2.469,4.13142013167194
"151",2,3.59231068074466,0,3.01866666666667,3.69422922309444
"152",2,3.59297342394989,0,3.88533333333333,3.96605562636755
"153",2,3.59370760936426,0,3.86966666666667,4.14163759627409
"154",2,3.59863015951418,0,3.76033333333333,4.29675053207214
"171",6,5.58779150266102,0,5.976,5.78011198761029
"172",6,6.7084716339288,0,5.996,6.09418385684511
"173",6,5.94375209888955,0,5.996,5.93125903381903
"174",6,4.91190907895226,0,5.086,5.2912278684716
"188",4,3.59362107354645,0,3.86966666666667,4.12574951010639
"190",4,3.59232503384644,0,3.01866666666667,3.70172356643847
"191",4,3.59367015754174,0,3.86966666666667,4.13489287816501
"192",4,3.5918920835101,0,2.698,3.43611766210657
"193",4,3.59267668117851,0,3.85,3.86144769531872
"195",4,3.59262322008821,0,3.854,3.83989681845376
"198",4,3.59262866256007,0,3.854,3.84213205671431
"199",4,3.59332518621652,0,2.99466666666667,4.06259557495195
"201",4,3.59247142001061,0,3.751,3.77356854437556
"202",4,3.59279960331765,0,3.606,3.90772334511257
"203",4,3.59233227685496,0,3.01866666666667,3.70547391562706
"205",4,3.59213323841478,0,2.877,3.59441936289518
"206",4,3.59272625972723,0,3.775,3.88064662070389
"260",7,3.59567013201123,0,4.252,4.3120645366768
"261",7,3.60363975343401,0,2.499,4.15626467278151
"262",7,3.59823808604509,0,4.884,4.30543019664537
"263",7,3.6220958173922,0,2.681,3.88174498829352
"264",7,3.59922681936908,0,5.17033333333333,4.28189061721095
"265",7,3.60886961112437,0,5.4225,4.0351625566599
"266",7,3.66578221981638,0,3.894,3.80623644990125
"267",7,3.61703626718389,0,3.935,3.92177871855266
"287",1,3.60241850689933,0,1.454,4.19049265808618
"288",1,3.59626449549377,0,5.0105,4.32275187744913
"289",1,3.61633123873765,0,3.935,3.92882524753578
"290",1,3.62177481539363,0,2.34766666666667,3.88381415780438
"291",1,3.67933365030766,0,1.4625,3.80479469043393
"292",1,3.63215348757862,0,3.89833333333333,3.83830539771002
"293",1,3.75450880854855,0,4.16133333333333,3.81504684354193
"294",1,3.60305176315438,0,1.414,4.17252252193134
"295",1,3.62236269032999,0,2.681,3.88006628903503
"296",1,3.60951765737612,0,3.3795,4.02314989308769
"297",1,3.6119683149554,0,5.316,3.98299314694721
"298",1,3.65072422772996,0,2.35366666666667,3.81164340011592
"299",1,3.65670975664736,0,2.61016666666667,3.80869887381614
