"","Actual","ANN","OL","RF","SVM"
"55",4,3.84393923385921,0,4.685,3.84708393183074
"56",4,3.84417996704353,0,4.00366666666667,3.84070441113392
"57",4,3.84453802404784,0,4,3.88797240409792
"58",4,3.84477209952149,0,4,3.96919008303385
"59",4,3.8449911218779,0,4,4.05489477977954
"60",4,3.84455087464136,0,4,3.89158677299131
"61",4,3.84414867803252,0,5.10966666666667,3.84080833781829
"62",4,3.84409448724662,0,1.252,3.84187583601599
"63",4,3.84404535115024,0,3.695,3.84346490796492
"64",4,3.84505711164323,0,4,4.07789903527828
"65",4,3.84409709370705,0,1.252,3.84180437796123
"66",4,3.8443666195787,0,4,3.85260526882236
"67",4,3.84425454585518,0,3.9025,3.84256010063829
"68",4,3.8439220099142,0,2.50316666666667,3.84750764532354
"69",4,3.84399345591911,0,2.9645,3.84535179347857
"70",4,3.84466561217811,0,4,3.92881479006869
"71",4,3.84467835760283,0,4,3.93341790362921
"72",4,3.84446178243166,0,1.96,3.86920735565679
"73",4,3.84439969180546,0,4,3.85750266665832
"74",4,3.84400544031015,0,3.5125,3.84491967112609
"75",4,3.84464621842421,0,4.04,3.92196624928865
"76",4,3.84476967391599,0,4,3.96823304725762
"77",4,3.84471851714574,0,4,3.9483836967956
"119",4,3.8432809504292,0,1.74466666666667,3.78144563359785
"120",4,3.84303256055387,0,1.967,3.78403725673539
"121",4,3.84332009745969,0,1.54366666666667,3.78625229803124
"122",4,3.84298725568953,0,1.63966666666667,3.79246954753992
"123",4,3.84398551140589,0,2.9645,3.84563210420558
"124",4,3.84354887554661,0,2.9685,3.82315017388637
"125",4,3.84382821699912,0,3.9675,3.84800444152448
"126",4,3.84377230162115,0,2.601,3.84637906612329
"127",4,3.84444771669597,0,4,3.86626882420804
"128",4,3.84405279483821,0,3.665,3.84320199060058
"129",4,3.84423967934282,0,2.4595,3.84191961289978
"130",4,3.84365088725163,0,4.35066666666667,3.83691573025046
"131",4,3.84352068363175,0,2.76533333333333,3.81866656463596
"132",4,3.84319665212716,0,3.74133333333333,3.77501756957911
"133",4,3.84450129491668,0,4,3.87834579138552
"134",4,3.84231436351227,0,2.93883333333333,4.08826778132033
"135",4,3.84263919885404,0,3.42233333333333,3.93250447260422
"138",8,3.84437703206185,0,4,3.85404772646306
"145",3,3.84342863278569,0,1.95183333333333,3.80316249712441
"146",3,3.8434844904597,0,5.48366666666667,3.81265513554247
"147",3,3.84172098389185,0,5.6025,4.15592337218866
"164",2,3.84290062426369,0,3.979,3.81594828637729
"165",2,3.8427864657717,0,4.46316666666667,3.86016301370114
"166",2,3.84324483970052,0,1.74466666666667,3.77795465035835
"167",2,3.84313894570956,0,3.234,3.77456793528014
"168",2,3.84342369387202,0,1.95183333333333,3.80232840503961
"169",2,3.84284526040494,0,4.65166666666667,3.83569068802813
"170",2,3.84275441409335,0,5.67383333333333,3.87479080860401
"183",6,3.84307633360179,0,2.17466666666667,3.77842347543838
"184",6,3.84303794202681,0,1.952,3.78321363532832
"185",6,3.84380409364414,0,3.9675,3.84750308177657
"186",6,3.84305535383499,0,5.3335,3.78080623295332
"238",4,3.84191751292771,0,4,4.15885833087133
"239",4,3.84193379624957,0,4,4.15849739823739
"240",4,3.84121593572845,0,4.4575,4.16030471407592
"241",4,3.84255369908184,0,3.6085,3.97749606499392
"242",4,3.84184025818335,0,4,4.15892128627246
"243",4,3.84194356404408,0,4,4.15821062171087
"244",4,3.84243914839048,0,5.4205,4.03514751062033
"245",4,3.84273696159606,0,5.148,3.88307786725501
"246",4,3.84124056101741,0,4.4575,4.15917698836868
"247",4,3.84216256627734,0,5.55366666666667,4.13285944362038
"248",4,3.8415457954915,0,4.0225,4.15190377455784
"249",4,3.84115857837222,0,4.4575,4.16289601186647
"250",4,3.84169927829005,0,4.8295,4.15525226912564
"251",4,3.84283209259944,0,4.8095,3.84087849421552
"252",4,3.84248786255228,0,6.13366666666667,4.01134629780255
"253",4,3.84168589316038,0,4.7295,4.15484541252092
"254",4,3.84179821716693,0,4,4.15812409212513
"255",4,3.84161452485061,0,5.507,4.15295287507847
"256",4,3.84143551933096,0,4,4.15241657963147
"257",4,3.84189871660925,0,4,4.15910654904482
"258",4,3.84168378003915,0,4.7295,4.15478205228682
"259",4,3.84284122798955,0,5.098,3.83726030096736
"279",7,3.84228904009,0,5.30733333333333,4.0973419381622
"280",7,3.841968224392,0,4,4.15723254479219
"281",7,3.84252777089324,0,3.18466666666667,3.99099554074318
"282",7,3.84325546160737,0,1.74466666666667,3.77887636026397
"283",7,3.8432404067239,0,1.74466666666667,3.77759757425649
"284",7,3.84237327660557,0,4.38983333333333,4.06481158429865
"285",7,3.84302172933799,0,1.69833333333333,3.78580935394752
"286",7,3.84217806265129,0,5.74866666666667,4.12939725587906
"316",1,3.84297091942217,0,1.63166666666667,3.79616654269166
"317",1,3.8438087730436,0,3.9675,3.84762338548702
"318",1,3.84361856815899,0,4.74266666666667,3.8330546520353
"319",1,3.84281931770949,0,4.764,3.84607921572624
"320",1,3.84334011511533,0,1.45033333333333,3.78904648331615
"321",1,3.84336675588717,0,1.51933333333333,3.79304559995474
"322",1,3.84446112903501,0,1.96,3.86906715616792
"323",1,3.84388029130076,0,1.80566666666667,3.84815581526969
"324",1,3.84333225915528,0,1.49366666666667,3.78792608731596
"325",1,3.84385184002024,0,3.9675,3.84822161168958
"326",1,3.84376410551029,0,2.52966666666667,3.84600027087966
"327",1,3.84385320116787,0,3.9675,3.84822632320108
"328",1,3.84101200387668,0,4.6625,4.16777185576428
