"","Actual","ANN","OL","RF","SVM"
"1",4,5.50472181622561,0,5.45740519581038,4.10039756311183
"2",4,5.50472181622561,0,5.45740519581038,4.10039756311183
"3",4,5.50472181622561,0,5.45740519581038,4.10039756311183
"4",4,5.50472181622561,0,5.45740519581038,4.10039756311183
"10",4,5.50472181622561,0,5.45740519581038,4.10039756311183
"11",4,4.00018651555313,0,4.04340022639933,3.89992049351804
"12",4,5.98466431817595,0,6.01805128205128,4.02122816614055
"13",4,5.50472181622561,0,5.45740519581038,4.10039756311183
"14",4,5.98466431817595,0,6.01805128205128,4.02122816614055
"15",4,5.98466431817595,0,6.01805128205128,4.02122816614055
"18",4,5.50472181622561,0,5.45740519581038,4.10039756311183
"19",4,5.98466431817595,0,6.01805128205128,4.02122816614055
"20",4,5.98466431817595,0,6.01805128205128,4.02122816614055
"80",4,3.87703700158328,0,4.04843618824451,3.86438592274984
"86",4,3.87703700158328,0,4.04843618824451,3.86438592274984
"87",4,3.87703700158328,0,4.04843618824451,3.86438592274984
"88",4,3.87703700158328,0,4.04843618824451,3.86438592274984
"94",4,5.97855590164554,0,5.04598173586459,3.90359648359751
"136",8,2.65795347436165,0,2.61341758323044,3.04096414494861
"139",3,2.65795347436165,0,2.61341758323044,3.04096414494861
"140",3,2.72691009639075,0,2.73384717520331,3.58991199681609
"141",3,2.72691009639075,0,2.73384717520331,3.58991199681609
"148",2,2.65795347436165,0,2.61341758323044,3.04096414494861
"149",2,2.65795347436165,0,2.61341758323044,3.04096414494861
"150",2,2.65795347436165,0,2.61341758323044,3.04096414494861
"151",2,2.65795347436165,0,2.61341758323044,3.04096414494861
"152",2,2.72691009639075,0,2.73384717520331,3.58991199681609
"153",2,2.65795347436165,0,2.61341758323044,3.04096414494861
"154",2,5.97855590164554,0,5.04598173586459,3.90359648359751
"171",6,2.39990731173696,0,2.46840414590569,3.82517536190216
"172",6,2.39990731173696,0,2.46840414590569,3.82517536190216
"173",6,2.39990731173696,0,2.46840414590569,3.82517536190216
"174",6,4.60365683442177,0,4.04843618824451,3.86438592274984
"188",4,4.00019608908885,0,4.00391996474703,3.89992049351804
"190",4,4.00019608908885,0,4.00391996474703,3.89992049351804
"191",4,4.00015668338932,0,3.99413418398916,3.9003975482686
"192",4,4.00250266914521,0,4.0043201754386,3.89992049351804
"193",4,4.00015668338932,0,3.99413418398916,3.9003975482686
"195",4,4.00015668338932,0,3.99413418398916,3.9003975482686
"198",4,4.00019608908885,0,4.00391996474703,3.89992049351804
"199",4,4.00250266914521,0,4.0043201754386,3.89992049351804
"201",4,4.00019608908885,0,4.00391996474703,3.89992049351804
"202",4,4.00019608908885,0,4.00391996474703,3.89992049351804
"203",4,4.00019608908885,0,4.00391996474703,3.89992049351804
"205",4,5.50472181622561,0,5.45740519581038,4.10039756311183
"206",4,5.50472181622561,0,5.45740519581038,4.10039756311183
"260",7,4.82053334345294,0,4.79317339578452,3.98201760529287
"261",7,4.82053334345294,0,4.79317339578452,3.98201760529287
"262",7,3.24811560200193,0,4.04843618824451,3.86438592274984
"263",7,3.87703700158328,0,4.04843618824451,3.86438592274984
"264",7,3.87703700158328,0,4.04843618824451,3.86438592274984
"265",7,3.87703700158328,0,4.04843618824451,3.86438592274984
"266",7,3.87703700158328,0,4.04843618824451,3.86438592274984
"267",7,2.65795347436165,0,2.61341758323044,3.04096414494861
"287",1,4.00070562027706,0,4.00659557159027,3.89992049351804
"288",1,4.00031150098298,0,4.00754205148881,3.89992049351804
"289",1,4.00031150098298,0,4.00754205148881,3.89992049351804
"290",1,4.00070562027706,0,4.00659557159027,3.89992049351804
"291",1,4.00031150098298,0,4.00754205148881,3.89992049351804
"292",1,4.00070562027706,0,4.00659557159027,3.89992049351804
"293",1,4.00070562027706,0,4.00659557159027,3.89992049351804
"294",1,4.00070562027706,0,4.00659557159027,3.89992049351804
"295",1,4.00070562027706,0,4.00659557159027,3.89992049351804
"296",1,4.00031150098298,0,4.00754205148881,3.89992049351804
"297",1,4.00031150098298,0,4.00754205148881,3.89992049351804
"298",1,4.00070562027706,0,4.00659557159027,3.89992049351804
"299",1,4.00070562027706,0,4.00659557159027,3.89992049351804
