"","Actual","ANN","OL","RF","SVM"
"1",4,3.79213743973512,0,1.233,3.82894516963119
"2",4,3.79203405217068,0,4.59666666666667,3.83893055115156
"3",4,3.79219168401466,0,4.12516666666667,3.81903549072924
"4",4,3.79242579366446,0,4.194,3.86815259467689
"10",4,3.79210356070136,0,3.53133333333333,3.83469957694961
"11",4,3.79276445651037,0,4.01,4.2115553691157
"12",4,3.79250911515732,0,4.02333333333333,3.9394789582214
"13",4,3.79231377526995,0,3.9125,3.8177958419304
"14",4,3.79224048022437,0,3.3505,3.81328579346741
"15",4,3.79202276678385,0,2.59383333333333,3.83810290048728
"18",4,3.79237597898609,0,2.2665,3.83881309471166
"19",4,3.79233539642147,0,3.9675,3.82315367362381
"20",4,3.79207742272114,0,3.37383333333333,3.83786251375378
"80",4,3.79143868538188,0,1.7615,3.4181537766835
"86",4,3.79192463536095,0,2.5295,3.8056206497798
"87",4,3.79210843507337,0,3.51633333333333,3.83396136765744
"88",4,3.79223075463761,0,2.3535,3.81400674476495
"94",4,3.79117955938821,0,3.6415,3.77269590920296
"136",8,3.79232058286893,0,3.935,3.81926560476581
"139",3,3.79169909236631,0,1.75616666666667,3.56876340882923
"140",3,3.7917357765763,0,5.63266666666667,3.61517375250767
"141",3,3.79057274354545,0,5.6615,4.14102131064609
"148",2,3.79135182836075,0,4.0995,3.49045383493241
"149",2,3.79127662957791,0,4.89066666666667,3.59859390619145
"150",2,3.79157831624046,0,1.78166666666667,3.44200923948509
"151",2,3.79150868052603,0,3.248,3.40908024527126
"152",2,3.79169584827841,0,1.75616666666667,3.5647143478792
"153",2,3.79131536418719,0,4.63883333333333,3.53855958517649
"154",2,3.79125550884843,0,5.82033333333333,3.6343501651958
"171",6,3.79146748988265,0,2.41416666666667,3.40899822760437
"172",6,3.7914422269501,0,1.7615,3.4166164899642
"173",6,3.79194548057649,0,3.94633333333333,3.81666290861478
"174",6,3.79145368508816,0,4.49433333333333,3.41243281233455
"188",4,3.79070285166154,0,4,4.175025250913
"190",4,3.79023781420271,0,4.416,4.19555647372386
"191",4,3.79112317055411,0,3.59133333333333,3.87610998931582
"192",4,3.79065172158493,0,4,4.16181604752033
"193",4,3.79072008891774,0,4,4.17870449148539
"195",4,3.79124400698058,0,5.6815,3.65451409221507
"198",4,3.79107973394425,0,5.87066666666667,3.95048597001017
"199",4,3.79019972480496,0,4.416,4.21786693280626
"201",4,3.79130669004872,0,5.74283333333333,3.55128244286462
"202",4,3.79054949930228,0,5.366,4.13614082394069
"203",4,3.79062388916984,0,4.048,4.15410066440922
"205",4,3.79038353521729,0,4.286,4.13677757606055
"206",4,3.79069041333009,0,4,4.17206390832467
"260",7,3.79094847298065,0,5.51616666666667,4.11904619193459
"261",7,3.79073640392396,0,4,4.18161696501928
"262",7,3.79110606572415,0,2.9675,3.9061682273349
"263",7,3.79158529919201,0,1.78166666666667,3.44732304388299
"264",7,3.79157540184804,0,1.78166666666667,3.43988957178634
"265",7,3.79100410082201,0,4.89916666666667,4.05978227479045
"266",7,3.79143155703333,0,1.6615,3.42159622464109
"267",7,3.79087515107659,0,5.37183333333333,4.16750402447195
"287",1,3.79164093827157,0,1.453,3.49999910433735
"288",1,3.79139811244712,0,1.59083333333333,3.44386750217664
"289",1,3.79194854846365,0,3.94633333333333,3.81809110416324
"290",1,3.79182379026122,0,5.19666666666667,3.72054733412903
"291",1,3.79129827420391,0,6.03066666666667,3.56404623042145
"292",1,3.79165844331185,0,1.69983333333333,3.5196305359225
"293",1,3.79237555198938,0,2.2665,3.83860954431969
"294",1,3.79199542815742,0,1.24366666666667,3.83383221156453
"295",1,3.79163577586314,0,1.46966666666667,3.49444447813338
"296",1,3.79197678052766,0,4.005,3.8289084256583
"297",1,3.79191926085226,0,2.5235,3.80239397026023
"298",1,3.79197767271489,0,4.23666666666667,3.82918324840886
"299",1,3.79010234053375,0,4.9845,4.2815764910027
