"","Actual","ANN","OL","RF","SVM"
"1",4,2.93335545825603,0,3.92252583180867,3.9219020117511
"2",4,4.32038683578669,0,5.95512212797892,4.26235233753873
"3",4,4.31607133869904,0,3.50846724881696,3.98973846047519
"4",4,4.22568576257833,0,4.05043081918082,4.13230183242008
"10",4,4.32020146977145,0,4.10621266080485,4.08057585148436
"11",4,1.44105642847197,0,1.92216666666667,2.10732512427792
"12",4,4.32038284544874,0,4.21088005741332,3.99802132489056
"13",4,4.32021736484327,0,4.1218297104219,3.93587458100817
"14",4,4.20907588640037,0,3.95062129537129,4.04513705131389
"15",4,4.21082302923123,0,3.90778796203796,4.04284676061057
"18",4,4.31698911759224,0,3.21060714780686,3.75860696221378
"19",4,4.3203905830331,0,4.82493772933663,3.76336491007096
"20",4,4.31303168588011,0,3.29048226726944,3.79250523479019
"80",4,2.81821219892656,0,3.05832771619879,3.50861078389636
"86",4,4.30747257354138,0,4.0516449531216,4.14172802739666
"87",4,4.32013357626879,0,3.9071391883381,3.88214347860808
"88",4,4.31989547409314,0,4.25553993963359,3.89647800189087
"94",4,4.31265645613505,0,4.11385941753576,4.07688255735545
"136",8,4.32037893271178,0,3.55728146068841,4.01463026716576
"139",3,4.3203934623295,0,4.46038208848625,3.96752992282211
"140",3,4.32039168831714,0,4.03772696028112,3.90395324956813
"141",3,4.31153880272937,0,3.96578051744797,3.66073041803828
"148",2,4.31607336194496,0,3.97008593130407,3.93759240132919
"149",2,4.32038700606777,0,5.6349730051719,4.27774184107298
"150",2,4.32015926925891,0,5.23420570833342,4.19095670000674
"151",2,4.19172688322154,0,3.94550224775225,3.90542519278256
"152",2,4.31736799508292,0,3.81678952098923,3.58271879063343
"153",2,4.31589422918985,0,4.05714214059186,3.98601444647814
"154",2,4.32038844131835,0,3.26357736991719,3.86619360085334
"171",6,1.5892300770722,0,4.36506776556776,4.38680242464996
"172",6,4.32029352690547,0,4.38118004471137,3.43148767599057
"173",6,4.32039286366681,0,4.31923923134339,3.68824531647357
"174",6,4.31781318560375,0,4.09779257349229,3.23033880211626
"188",4,4.32009519264664,0,4.05249505469397,3.9852658710683
"190",4,4.15996911802665,0,5.75114593739594,3.74736678639235
"191",4,4.21397434876166,0,3.88716891441891,4.07900967114384
"192",4,4.31996321507402,0,4.17423041582407,3.93997311044463
"193",4,2.54495373171771,0,2.01759174383782,2.3920231115967
"195",4,4.32038081071325,0,4.38981550968035,3.89750789652941
"198",4,4.32016060872941,0,4.91589060676832,4.11078599626815
"199",4,4.0879471519727,0,4.37524117549117,3.00065648188115
"201",4,4.31990292506233,0,3.79951405933914,4.04874174925459
"202",4,4.32005341544888,0,4.09961410231302,3.98062622310014
"203",4,4.3203747261002,0,4.11406188698725,3.84577443013241
"205",4,4.32001061868545,0,4.20542225906854,4.19106100677922
"206",4,4.31994221579472,0,4.1935637491574,3.95934206045712
"260",7,4.32015831569925,0,3.98234071257764,4.22515454906191
"261",7,4.32038523548986,0,4.23370386693713,4.11273463342523
"262",7,4.32017390984214,0,4.27638385072604,4.19040587758679
"263",7,4.32019789181275,0,3.96062732946952,4.09114424790428
"264",7,4.32011767669358,0,4.00384341820534,4.24336739532625
"265",7,4.31375673635538,0,4.11285941753576,4.13214203506916
"266",7,4.20655899113832,0,4.09302605727606,4.03632593051014
"267",7,4.3133871661994,0,4.38067109691245,4.19053881926833
"287",1,2.24763477684796,0,1.82399975249583,2.65815888212727
"288",1,1.44008698465,0,1.05,1.19393830809502
"289",1,2.35141100933224,0,1.44585689535297,0.930065601068697
"290",1,1.43685227502833,0,2.3225,1.68451172275959
"291",1,1.4367644661757,0,1.42583333333333,1.51897304067092
"292",1,3.06382308126944,0,4.09652081927734,4.3621871169929
"293",1,2.57573427237685,0,1.40725841050448,1.71976007474661
"294",1,1.43936505790781,0,1,0.966017886746231
"295",1,2.52832445320812,0,1.53535689535297,1.81025155030092
"296",1,1.43684677792919,0,1.50583333333333,1.35152618016028
"297",1,2.47607496155078,0,1.39785689535297,1.56878016351186
"298",1,4.136005433179,0,4.86433641358641,3.11868978039348
"299",1,2.17924897406709,0,1.30754737154344,1.13341065868193
