"","Actual","ANN","OL","RF","SVM"
"1",4,3.7921580209155,0,4.08666666666667,4.10382247148544
"2",4,3.7921580209155,0,4.40366666666667,4.22849315832335
"3",4,3.7921580209155,0,3.977,4.19790346438011
"4",4,3.7921580209155,0,2.97083333333333,4.16400932990458
"10",4,3.7921580209155,0,4.33033333333333,4.3482768439699
"11",4,3.7921580209155,0,3.943,3.74088359398655
"12",4,3.7921580209155,0,4.025,3.83084886572622
"13",4,3.7921580209155,0,3.992,3.63741106614304
"14",4,3.7921580209155,0,4.15733333333333,4.12400371205923
"15",4,3.7921580209155,0,3.98066666666667,3.92952677425277
"18",4,3.7921580209155,0,4.277,4.13636122821063
"19",4,3.7921580209155,0,4.25916666666667,4.37728499514253
"20",4,3.7921580209155,0,4.23866666666667,3.35598727853873
"80",4,3.7921580209155,0,4.27983333333333,4.09742280583646
"86",4,3.7921580209155,0,3.223,4.00984937394533
"87",4,3.7921580209155,0,4.07,4.43270554536247
"88",4,3.7921580209155,0,4.004,4.53108427557739
"94",4,3.7921580209155,0,4.39566666666667,4.63839891235797
"136",8,3.7921580209155,0,5.48683333333333,4.98120944339188
"139",3,3.7921580209155,0,2.73183333333333,3.35639121046258
"140",3,3.7921580209155,0,2.6095,2.54530845700164
"141",3,3.7921580209155,0,5.19516666666667,6.32481688070046
"148",2,3.7921580209155,0,2.006,1.99627355155147
"149",2,3.7921580209155,0,1.994,1.82193800785749
"150",2,3.7921580209155,0,2.08833333333333,2.37947125515644
"151",2,3.7921580209155,0,1.985,1.9432214612104
"152",2,3.7921580209155,0,2.22666666666667,2.4498258537472
"153",2,3.7921580209155,0,2.074,2.22309668450609
"154",2,3.7921580209155,0,2.03833333333333,1.95027522416324
"171",6,3.7921580209155,0,5.27733333333333,5.93758043863576
"172",6,3.7921580209155,0,5.20383333333333,5.88035591756533
"173",6,3.7921580209155,0,5.319,5.71928161856361
"174",6,3.7921580209155,0,5.40633333333333,5.87505676697893
"188",4,3.7921580209155,0,4.058,4.8013167213568
"190",4,3.7921580209155,0,4.77683333333333,4.87038615117111
"191",4,3.7921580209155,0,4.61916666666667,5.56355645960705
"192",4,3.7921580209155,0,4,3.5581693929737
"193",4,3.7921580209155,0,4.57733333333333,4.63441819375396
"195",4,3.7921580209155,0,4.0395,3.73927779523229
"198",4,3.7921580209155,0,4.968,5.06057481761702
"199",4,3.7921580209155,0,4.098,4.54222646434465
"201",4,3.7921580209155,0,4.13583333333333,4.36316833658582
"202",4,3.7921580209155,0,4,4.32371613183066
"203",4,3.7921580209155,0,4.1915,3.71780600246264
"205",4,3.7921580209155,0,4,4.13275277359121
"206",4,3.7921580209155,0,4.08,3.84768333190936
"260",7,3.7921580209155,0,5.39016666666667,5.49400045718561
"261",7,3.7921580209155,0,5.649,6.25294357507743
"262",7,3.7921580209155,0,6.94916666666667,6.24124168282318
"263",7,3.7921580209155,0,6.03566666666667,6.08640110166536
"264",7,3.7921580209155,0,6.237,5.34469589684329
"265",7,3.7921580209155,0,6.472,6.74135195098025
"266",7,3.7921580209155,0,5.34166666666667,6.39007811051311
"267",7,3.7921580209155,0,5.24,6.60194559993017
"287",1,3.7921580209155,0,2.1445,2.49484502145054
"288",1,3.7921580209155,0,2.75766666666667,1.73523073014093
"289",1,3.7921580209155,0,1.3945,1.15021417673523
"290",1,3.7921580209155,0,4.2925,2.44742108391203
"291",1,3.7921580209155,0,5.15633333333333,3.33373189885323
"292",1,3.7921580209155,0,2.97966666666667,3.57145242547246
"293",1,3.7921580209155,0,1.4065,1.85734502101365
"294",1,3.7921580209155,0,1.03,0.74409622781494
"295",1,3.7921580209155,0,2.583,2.04825137683259
"296",1,3.7921580209155,0,1.228,1.23160490150037
"297",1,3.7921580209155,0,1.03,0.880399953449193
"298",1,3.7921580209155,0,1.0875,1.60392069648714
"299",1,3.7921580209155,0,4.88616666666667,4.16888196667871
