"","t.cvCosineSim.","groupName"
"X0",0.987612629733885,"PastorAnderson_train11"
"V2",0.986776874089893,"PastorAnderson_train11"
"V3",0.98848394098451,"PastorAnderson_train11"
"V4",0.986395075246311,"PastorAnderson_train11"
"V5",0.986852610864348,"PastorAnderson_train11"
"V6",0.987470641595956,"PastorAnderson_train11"
"V7",0.988996959404859,"PastorAnderson_train11"
"V8",0.985594990342656,"PastorAnderson_train11"
"V9",0.986332446059694,"PastorAnderson_train11"
"V10",0.989644090850281,"PastorAnderson_train11"
