"","ModelName","ANN","RF","SVM"
"2","Full model",0.663265306122449,0.693877551020408,0.551020408163265
"3","Full model-Semantic",0.510204081632653,0.510204081632653,0.5
"4","Full model-Performative",0.714285714285714,0.857142857142857,0.795918367346939
"5","Coupled sentiment-words",0.663265306122449,0.612244897959184,0.704081632653061
"6","Coupled sentiment-docs",0.612244897959184,0.602040816326531,0.622448979591837
"7","Total Sentiment",0.653061224489796,0.683673469387755,0.714285714285714
"8","Topic Models",0.224489795918367,0.530612244897959,0.551020408163265
"9","ACOM",0.653061224489796,0.489795918367347,0.653061224489796
"10","Semco",0.663265306122449,0.489795918367347,0.653061224489796
"11","Perceived Judgements",0.683673469387755,0.571428571428571,0.683673469387755
"12","Number Judgements",0.663265306122449,0.642857142857143,0.73469387755102
"13","Total Judgements",0.724489795918367,0.755102040816326,0.73469387755102
"14","Networks",0.663265306122449,0.73469387755102,0.755102040816326
"15","Optimal Model",0.663265306122449,0.857142857142857,0.836734693877551
