"","Actual","ANN","OL","RF","SVM"
"1",4,3.89984594997822,0,3.9905,4.03807980850391
"2",4,4.27170491485487,0,6.313,4.17493510814517
"3",4,3.87825627673361,0,3.86783333333333,4.01927430253338
"4",4,3.44919524919024,0,2.95333333333333,3.83631597127315
"5",4,3.74506945110286,0,2.73533333333333,3.90667165880789
"6",4,3.62169175117457,0,3.06583333333333,3.84328874262286
"7",4,3.62092851802726,0,3.06583333333333,3.84307632796052
"8",4,4.20944298880564,0,5.95666666666667,4.17741012742564
"9",4,3.95827214310381,0,3.75183333333333,4.08535136921098
"10",4,4.25632610375602,0,4.637,4.17608451535044
"11",4,3.21037960664283,0,3.9,3.8408717809784
"12",4,3.45555318954034,0,2.97333333333333,3.83577553684416
"13",4,3.49124095903854,0,3.381,3.83306229040378
"14",4,3.70026243991855,0,2.534,3.87719336731244
"15",4,3.6805171270322,0,2.95333333333333,3.86643544958301
"16",4,3.86869793220968,0,5.225,4.01082678257519
"17",4,3.64891686459381,0,1.686,3.85232670961781
"18",4,3.89429695555332,0,3.9905,4.03329277551652
"19",4,4.04262149567695,0,5.30333333333333,4.13817679010795
"20",4,4.03396423654739,0,4.86566666666667,4.13377399710558
"21",4,3.70677667062665,0,2.534,3.88105715536476
"22",4,3.64457705839658,0,1.62416666666667,3.85069350128857
"23",4,3.64338207512504,0,1.62416666666667,3.85025670316036
"78",4,3.2048077290037,0,3.9,3.84087588691568
"79",4,3.39341055187703,0,3.1545,3.84061992100881
"80",4,3.25643758613385,0,3.4485,3.8415216598869
"81",4,3.21996979164787,0,3.704,3.840915110152
"82",4,3.20169024554332,0,3.9,3.84088809939642
"83",4,3.27745853501182,0,3.51466666666667,3.84201489978064
"84",4,3.25555150856018,0,3.4485,3.84150152462168
"85",4,3.40022000521356,0,2.65466666666667,3.84018701569992
"86",4,3.39702168690564,0,2.5775,3.84039484388508
"87",4,3.44997937788406,0,2.95333333333333,3.83624908580243
"88",4,3.46716647406208,0,3.44416666666667,3.83481296998155
"89",4,3.21619556828968,0,3.845,3.84089075773456
"90",4,3.11709836593301,0,3.96283333333333,3.84368306921285
"91",4,3.5322661558345,0,2.357,3.83171231446241
"92",4,3.19490331635799,0,3.9,3.84094007876225
"93",4,3.43902996077396,0,1.6185,3.83718246542674
"94",4,3.38383852744734,0,1.99433333333333,3.8411644061645
"136",8,2.79892168416324,0,4.26383333333333,3.92255190886396
"139",3,3.68846027454085,0,3.94466666666667,3.8705877423558
"140",3,3.70359247551301,0,2.534,3.8791494739018
"141",3,4.84569984176611,0,4.2055,4.15655958111004
"148",2,3.28435792225071,0,3.36366666666667,3.84216918626283
"149",2,3.6255268514666,0,3.06583333333333,3.844389443836
"150",2,3.28080762975545,0,3.51466666666667,3.84209099915075
"151",2,3.38352049622694,0,2.19866666666667,3.84118114424451
"152",2,3.19328367106086,0,3.8,3.84095771042263
"153",2,3.45100339960056,0,2.95333333333333,3.83616180586412
"154",2,3.64511005618065,0,1.62416666666667,3.85089012288462
"171",6,4.06834254006313,0,4.41433333333333,4.14979779790477
"172",6,3.96416121076219,0,3.81183333333333,4.08970637239593
"173",6,3.88378718661483,0,3.74783333333333,4.02413420322046
"174",6,4.05273570402626,0,4.72266666666667,4.14300775976452
"187",4,4.80431332922584,0,4.045,4.1545528998347
"188",4,4.5441117953343,0,4,4.14687040369634
"189",4,4.64784028097583,0,4,4.1467872543246
"190",4,4.71065502091285,0,4.81,4.14941473344401
"191",4,4.35018359845123,0,4.0435,4.1659521879961
"192",4,4.55920749439229,0,4,4.14640843795509
"193",4,4.46630821847049,0,5.418,4.15195118934408
"194",4,4.99268138200645,0,4.13933333333333,4.15882245322762
"195",4,4.56324103718614,0,4,4.14631335009915
"196",4,4.66446962581447,0,4,4.14734352302073
"197",4,4.32927597237688,0,4.091,4.16866556589382
"198",4,4.08102767461212,0,4.482,4.15472370062067
"199",4,4.92791636259068,0,4.018,4.15894936257945
"200",4,4.87471084164932,0,4.018,4.1576871177144
"201",4,4.66074672623775,0,4,4.14720861444893
"202",4,4.52371751754014,0,4.2115,4.14776548813771
"203",4,4.41319705961335,0,4.0235,4.15774715200148
"204",4,4.57328920410402,0,4,4.14612737632581
"205",4,4.89639999922191,0,4.018,4.15833825496604
"206",4,4.72536682646642,0,5.98,4.15018802188305
"207",4,4.76133846033473,0,4.045,4.15218473652682
"208",4,4.35684711352218,0,4.0435,4.16506938262891
"260",7,3.74402481691601,0,4.19466666666667,3.90591197037171
"261",7,3.89341586430079,0,3.9905,4.03252935280848
"262",7,4.06275793476955,0,4.71433333333333,4.14746080032509
"263",7,4.16594824536707,0,6.8585,4.17473090372982
"264",7,4.3347344192735,0,4.031,4.16796887611482
"265",7,4.20254551045998,0,5.8605,4.17726752752351
"266",7,4.40453364740769,0,4.0235,4.15882353249295
"267",7,4.39565499925817,0,4.0235,4.15995333808432
"287",1,3.59688221049874,0,2.97916666666667,3.83748413494011
"288",1,3.72694905796764,0,4.13466666666667,3.89395906849506
"289",1,3.59445892258925,0,2.02416666666667,3.8370353983886
"290",1,4.13363354369178,0,6.08166666666667,4.16964586099398
"291",1,3.99887400878394,0,6.16016666666667,4.11345667071829
"292",1,3.4705536671417,0,3.44416666666667,3.83454240614047
