"","Actual","ANN","OL","RF","SVM"
"1",4,4.22422459075567,0,3.983,4.06504115770212
"2",4,3.98821287195028,0,4.25866666666667,3.79981641836514
"3",4,4.24815651203734,0,3.93133333333333,4.02852202794336
"4",4,4.33336811263213,0,3.452,3.90456765757637
"5",4,4.31413416112818,0,4.018,4.11038433446829
"6",4,4.29069325902066,0,4.85166666666667,4.54224905972511
"7",4,4.33030139439893,0,4.17866666666667,3.92801629463971
"8",4,4.2197132341518,0,4.16616666666667,3.94203600756374
"9",4,4.11730521422631,0,4.15016666666667,4.19910697915757
"10",4,4.31782620036096,0,4.26866666666667,4.34083075942564
"11",4,4.20363635731382,0,4.01533333333333,4.28021106635023
"12",4,3.88344263321155,0,3.9375,3.87646919709604
"13",4,3.15421873201688,0,4.02,3.5982919743693
"14",4,4.12343815607772,0,4.05333333333333,4.34529959074179
"15",4,4.22493142821669,0,3.985,3.8125353322709
"16",4,4.33587359718958,0,4.103,4.17663060784918
"17",4,3.94644213096958,0,4.0035,3.99909729074218
"18",4,4.29605207087514,0,4.111,3.99175114719462
"19",4,4.29536082986253,0,4.20766666666667,4.33350012909177
"20",4,3.58370080172808,0,4.239,3.95590469296036
"21",4,4.31406525725874,0,3.985,4.09601728350534
"22",4,4.14553499711885,0,3.9725,4.00221838907644
"23",4,4.31102129463014,0,3.985,4.04262736552299
"78",4,3.89484030498577,0,3.9925,3.96799007755517
"79",4,4.32473395788938,0,3.956,4.0705654030829
"80",4,4.28296869197195,0,3.9175,3.98839180695991
"81",4,4.33290927941224,0,3.931,4.05530262580422
"82",4,4.34290937866139,0,3.86416666666667,4.10598604721955
"83",4,4.32232601899686,0,4,4.28868840451613
"84",4,4.21185128349374,0,3.906,3.99403462542034
"85",4,4.33552189965126,0,4,4.2223529050419
"86",4,4.02297906341709,0,3.1815,3.40556394643577
"87",4,4.33444916203805,0,3.97,4.20962886766454
"88",4,4.31910344097245,0,4,4.20984841591059
"89",4,3.19065091149688,0,4,3.87466923395401
"90",4,4.27835966595137,0,3.896,3.92201425566181
"91",4,4.31971664221298,0,4.678,4.12947885724659
"92",4,4.09034697914377,0,3.98,4.35567571537356
"93",4,4.25999347297449,0,3.96533333333333,4.24625377245855
"94",4,4.32919320847502,0,4.97233333333333,4.31610527882378
"136",8,4.34724844174504,0,5.42233333333333,4.67648994638649
"139",3,3.80999787787445,0,2.52766666666667,2.13857568933026
"140",3,1.63816076915132,0,2.323,1.83837696156689
"141",3,4.34760022116669,0,4.90283333333333,5.79506864305966
"148",2,4.3481887973768,0,2.00166666666667,2.13406209733597
"149",2,4.34822391771707,0,2.02,1.90247657577574
"150",2,4.34823423323717,0,2.162,2.31472617491807
"151",2,4.34823232031147,0,2.045,2.04660194682817
"152",2,4.33961291603099,0,2.19966666666667,2.4179673617689
"153",2,4.34618461532194,0,2.095,2.17000487825505
"154",2,4.34823466403128,0,2.22933333333333,1.97419167374365
"171",6,4.30204481888482,0,5.29583333333333,6.17039689186261
"172",6,4.3439799909693,0,5.27533333333333,5.80327425410504
"173",6,4.25260565268338,0,5.11083333333333,5.65308222612525
"174",6,4.24608428669568,0,5.406,5.85304721849123
"187",4,4.34800080674056,0,5.2755,4.60030648223685
"188",4,4.26264081988896,0,4.02766666666667,4.36113306762975
"189",4,4.32660871530101,0,4,4.11778377925128
"190",4,4.3012468149161,0,4.3225,4.09813250944696
"191",4,4.3338267202521,0,4,4.50091768590611
"192",4,4.29513428937262,0,4,3.89115997101874
"193",4,4.34352043232612,0,4.015,4.16386613657875
"194",4,4.15492050652225,0,4.05766666666667,3.56586758058717
"195",4,4.2668987407024,0,4.025,4.03366463569189
"196",4,4.31332100923802,0,4.27516666666667,4.32942224765042
"197",4,4.29631094334478,0,4.23183333333333,4.53163070963326
"198",4,4.1023734712157,0,4.529,4.18753046248263
"199",4,4.34195343215877,0,4.2685,4.31435917936204
"200",4,4.33662526411354,0,4.006,3.89860150905758
"201",4,4.3162597688775,0,4.00666666666667,3.90879303664633
"202",4,4.33879452402765,0,4,4.13061588392277
"203",4,4.33487110783143,0,4.03,3.98624055000724
"204",4,4.33979953726908,0,4.045,3.87754417613985
"205",4,4.34197758593786,0,4.006,3.91429308281225
"206",4,4.27820656440302,0,4.11266666666667,4.22501250187928
"207",4,4.32914028432388,0,4.011,3.90122371338747
"208",4,4.28834240233508,0,4.005,3.86976678616609
"260",7,4.33578765468645,0,5.30483333333333,5.15715448157852
"261",7,4.34702173674901,0,6.181,5.84152379941986
"262",7,4.34265772251057,0,6.929,5.45099362128094
"263",7,4.3476902255783,0,6.05433333333333,5.63326404533317
"264",7,4.34510216248795,0,6.227,5.23166308073221
"265",7,4.34705187357199,0,6.94,6.33250884493779
"266",7,4.34490073770627,0,4.81233333333333,5.92612206423401
"267",7,4.3473745847075,0,4.8545,5.69090921795737
"287",1,1.10781650556356,0,2.272,2.16322147128101
"288",1,1.52653208204625,0,2.794,2.56923638765113
"289",1,1.29702613560248,0,1.7955,2.1933554386942
"290",1,4.28297426895325,0,4.575,4.35631172126808
"291",1,4.34588936594591,0,5.09966666666667,5.82930291603333
"292",1,3.73623690634962,0,2.7195,2.64799928457783
"293",1,4.13779914555524,0,2.40966666666667,2.33557491973714
"294",1,0.833444388781684,0,1.0725,1.43388981605367
"295",1,3.59153491008471,0,2.581,2.6875475396032
"296",1,1.58808670794424,0,1.4895,2.34304544516349
"297",1,0.904145564823865,0,1,0.995387302868548
"298",1,1.20965322708182,0,1,1.47787030571355
"299",1,4.31687341084176,0,5.21383333333333,5.80431977048171
