"","Actual","ANN","OL","RF","SVM"
"1",4,4.94752567408826,0,5.31233333333333,4.71105815716045
"2",4,4.94070460190549,0,4.9645,5.02009949736847
"3",4,4.94827032294384,0,4.83,4.35307545046749
"4",4,4.94827051842563,0,5.437,5.79194944315513
"5",4,4.94230250657957,0,4.9755,4.93276334556537
"6",4,4.94473879161338,0,5.27733333333333,6.71168520332881
"7",4,4.9482705576372,0,4.61783333333333,5.05514120171183
"8",4,4.94240170872301,0,5.25383333333333,6.51498804820119
"9",4,4.94347752504844,0,4.802,5.10662322005037
"10",4,4.94826780551827,0,5.3945,5.95743665825871
"11",4,4.84240216631853,0,5.467,6.31515679887752
"12",4,4.94767157536186,0,4.6145,4.43328397847738
"13",4,4.9481838035501,0,5.0395,6.39889863264618
"14",4,4.75827463333144,0,5.199,4.8076516640511
"15",4,4.8219345740302,0,4.99366666666667,5.30051815183444
"16",4,4.94758774505394,0,5.37466666666667,6.14287009497217
"17",4,4.91735150113822,0,4.8445,5.26865720724457
"18",4,4.94485042696169,0,5.2845,6.46286761603538
"19",4,4.93355897940013,0,4.6125,5.66094594884765
"20",4,4.07508694478099,0,5.081,5.40676275509815
"21",4,4.94763218107274,0,4.979,4.56543283713179
"22",4,4.94827052590873,0,4.7205,4.83002475297814
"23",4,2.48919178286747,0,5.476,4.66574371448654
"78",4,0.507380850210307,0,3.7015,3.65802311685708
"79",4,0.509626668126602,0,4.0055,3.65802311685708
"80",4,0.507406774829862,0,3.7325,3.65802311685708
"81",4,0.507401721027381,0,3.458,3.65802311685708
"82",4,0.507425651687587,0,3.64116666666667,3.65802311685708
"83",4,0.50915635274947,0,3.978,3.65802311685708
"84",4,0.507383503164846,0,3.83416666666667,3.65802311685708
"85",4,0.507367885586626,0,3.818,3.65802311685708
"86",4,0.508130963267285,0,3.7145,3.65802311685708
"87",4,0.50858269388682,0,3.7025,3.65802311685708
"88",4,0.507617126863966,0,3.863,3.65802311685708
"89",4,0.507497165166645,0,4.296,3.65802311685708
"90",4,1.74415690735441,0,2.8735,3.59957996652334
"91",4,0.536731619171944,0,2.59016666666667,2.09175995821099
"92",4,1.65295383524652,0,3.37166666666667,2.17373046080755
"93",4,3.57892065981242,0,3.7275,2.72862752899032
"94",4,3.39778715522863,0,3.38416666666667,2.138044179334
"136",8,1.95074148469798,0,2.7345,1.88373621557974
"139",3,4.13326070192941,0,3.67116666666667,3.44819544681493
"140",3,1.40119311104436,0,3.27616666666667,2.40049042438408
"141",3,2.56093881704843,0,3.6915,2.69334558701885
"148",2,1.9481697328817,0,3.122,2.01865830608746
"149",2,3.08219375893341,0,3.29483333333333,1.90167354836049
"150",2,1.98199528184131,0,2.844,1.95363489635982
"151",2,0.727879801591515,0,3.25183333333333,2.12673528751165
"152",2,3.50846233449461,0,3.933,2.78104588191879
"153",2,3.1199695004479,0,3.38066666666667,2.72893808504714
"154",2,2.24894445978193,0,2.769,1.76686940925485
"171",6,4.08394521215718,0,3.694,2.92907592498079
"172",6,4.91320783110652,0,3.579,3.33892141884025
"173",6,4.72997752826705,0,4.00016666666667,4.46947035768635
"174",6,4.9060808607595,0,3.7245,3.77240678287978
"187",4,3.07587652719374,0,4.034,3.82115407411226
"188",4,3.64730738465684,0,4.114,4.01004832511599
"189",4,4.2693960091554,0,3.862,3.82735895774365
"190",4,3.18908873112104,0,4.028,3.9507542391765
"191",4,4.738090610813,0,3.9505,4.09372243511212
"192",4,3.46481163465978,0,3.94,3.95204434555355
"193",4,3.55245659923142,0,4.021,3.89837157948047
"194",4,3.62811883949653,0,4.02,3.91469527849985
"195",4,4.02305824429793,0,3.928,4.21144381012053
"196",4,4.33489208023617,0,4.02933333333333,3.97132987581663
"197",4,3.1401749523328,0,3.9625,3.80345300227853
"198",4,4.00051698357055,0,3.98,3.8495313437277
"199",4,2.27667371109584,0,3.54583333333333,3.66204847472693
"200",4,3.02178604347676,0,4.04,4.03316650289234
"201",4,4.31791158860099,0,4.0175,3.97917900426885
"202",4,3.82467019875291,0,4.048,3.94811740834145
"203",4,4.25215301600231,0,3.9865,3.81483854894345
"204",4,4.9481181122633,0,6.17,5.57890800056821
"205",4,4.94826169498256,0,4.883,5.93896708185783
"206",4,4.94527307421221,0,5.438,6.42428610846006
"207",4,4.92621318251328,0,5.3255,4.39672335267934
"208",4,4.94808943597697,0,4.86583333333333,5.81592996882991
"260",7,4.94032394793753,0,4.802,4.79523016952503
"261",7,4.94803514046896,0,4.375,4.87412469687708
"262",7,4.54924047996393,0,4.6715,4.63291072003
"263",7,0.508260867286199,0,3.8895,3.65802311685708
"264",7,0.508503038613563,0,4.13416666666667,3.65802311685708
"265",7,0.507509375622939,0,3.66,3.65802311685708
"266",7,0.507984017325414,0,3.9245,3.65802311685708
"267",7,0.57624711631834,0,2.44433333333333,3.2414166338888
"287",1,4.48480909831129,0,4.01,4.09298792164224
"288",1,4.88341607125623,0,3.504,3.80181409474346
"289",1,3.6640003018942,0,3.8315,3.93938211255354
"290",1,3.19087019319699,0,4.079,4.06629778117845
"291",1,2.52950193814843,0,3.63,3.8926596322982
"292",1,4.93020879941781,0,4.6295,4.76886061466142
"293",1,2.11772459755924,0,4.034,4.11582930695435
"294",1,3.49576079074,0,3.518,3.84971206824703
"295",1,4.64514079689086,0,4.08133333333333,4.14230132750001
"296",1,4.84027055154036,0,3.605,4.02329893537805
"297",1,4.93705267043852,0,3.76883333333333,4.00658958457766
"298",1,1.2713704394177,0,4.149,3.91244261415766
"299",1,4.15652948266238,0,3.391,3.89465931129024
