"","Actual","ANN","OL","RF","SVM"
"1",4,3.84335808497839,0,4.615,4.6465599045006
"2",4,3.84335808497839,0,5.078,5.51483273380974
"3",4,3.84335808497839,0,4.578,4.67705673089756
"4",4,3.84335808497839,0,4.28266666666667,4.66115496118589
"5",4,3.84335808497839,0,4.4095,4.72717756263673
"6",4,3.84335808497839,0,4.80316666666667,5.38506500263481
"7",4,3.84335808497839,0,4.3195,4.93610773146714
"8",4,3.84335808497839,0,4.953,6.11210491798063
"9",4,3.84335808497839,0,4.62666666666667,5.13263392178563
"10",4,3.84335808497839,0,5.1665,6.02139582245102
"11",4,3.84335808497839,0,3.6945,4.18727164223683
"12",4,3.84335808497839,0,3.982,4.14160503280514
"13",4,3.84335808497839,0,4.4215,5.48519268358105
"14",4,3.84335808497839,0,4.57866666666667,4.59791163274947
"15",4,3.84335808497839,0,4.45233333333333,4.84891399688009
"16",4,3.84335808497839,0,4.817,5.90460663979457
"17",4,3.84335808497839,0,4.41,4.61844331246083
"18",4,3.84335808497839,0,4.96316666666667,5.86991487084377
"19",4,3.84335808497839,0,4.68733333333333,5.2605722890135
"20",4,3.84335808497839,0,4.9845,5.15140936763038
"21",4,3.84335808497839,0,4.28116666666667,4.6239268618077
"22",4,3.84335808497839,0,4.424,4.42098846524784
"23",4,3.84335808497839,0,4.2595,4.46967560667374
"78",4,3.84335808497839,0,3.87,3.94522890958581
"79",4,3.84335808497839,0,4.17633333333333,3.94522890958581
"80",4,3.84335808497839,0,3.99133333333333,3.94522890958581
"81",4,3.84335808497839,0,3.97,3.94522890958581
"82",4,3.84335808497839,0,4.1,3.94522890958581
"83",4,3.84335808497839,0,4.06,3.94522890958581
"84",4,3.84335808497839,0,4.03,3.94522890958581
"85",4,3.84335808497839,0,4.12133333333333,3.94522890958581
"86",4,3.84335808497839,0,3.80333333333333,3.94522890958581
"87",4,3.84335808497839,0,4.19,3.94522890958581
"88",4,3.84335808497839,0,4.03,3.94522890958581
"89",4,3.84335808497839,0,4.28,3.94522890958581
"90",4,3.84335808497839,0,4.58,3.88467065097542
"91",4,3.84335808497839,0,4.26833333333333,2.24526107347725
"92",4,3.84335808497839,0,4.21933333333333,2.64167748815895
"93",4,3.84335808497839,0,4.968,3.75618075209192
"94",4,3.84335808497839,0,5.2,3.32643177535706
"136",8,3.84335808497839,0,3.71466666666667,2.9166141364582
"139",3,3.84335808497839,0,3.07366666666667,3.82478765633687
"140",3,3.84335808497839,0,2.9025,2.83743779085091
"141",3,3.84335808497839,0,4.90233333333333,4.98782125844798
"148",2,3.84335808497839,0,2.666,1.85574953050622
"149",2,3.84335808497839,0,2.328,1.94445296592795
"150",2,3.84335808497839,0,2.44166666666667,2.02561564117508
"151",2,3.84335808497839,0,2.34983333333333,2.12570264589832
"152",2,3.84335808497839,0,2.70916666666667,1.96885017001123
"153",2,3.84335808497839,0,2.24833333333333,2.05727058724137
"154",2,3.84335808497839,0,2.293,2.16355630101914
"171",6,3.84335808497839,0,4.41766666666667,3.47682919521071
"172",6,3.84335808497839,0,4.38,3.35775895258708
"173",6,3.84335808497839,0,4.34366666666667,4.15291517115808
"174",6,3.84335808497839,0,3.94716666666667,3.64612861827721
"187",4,3.84335808497839,0,5.313,3.93565097889763
"188",4,3.84335808497839,0,4.006,4.0801967016043
"189",4,3.84335808497839,0,3.98,3.83749020467602
"190",4,3.84335808497839,0,4.0525,4.07063388588837
"191",4,3.84335808497839,0,4,4.12607701721159
"192",4,3.84335808497839,0,4.03,3.79517817870647
"193",4,3.84335808497839,0,4.016,3.8689559277033
"194",4,3.84335808497839,0,4.011,3.87529643641706
"195",4,3.84335808497839,0,4.03,4.11370832985256
"196",4,3.84335808497839,0,4.0525,3.98955713063428
"197",4,3.84335808497839,0,4,3.95966913800402
"198",4,3.84335808497839,0,4,3.71404294776679
"199",4,3.84335808497839,0,4.0235,3.79443033160137
"200",4,3.84335808497839,0,4,4.21356939136838
"201",4,3.84335808497839,0,4.006,4.18513731922383
"202",4,3.84335808497839,0,4.016,4.03039154064917
"203",4,3.84335808497839,0,4.1,4.27914900907659
"204",4,3.84335808497839,0,5.5475,6.4619130742243
"205",4,3.84335808497839,0,4.8145,6.79234864448771
"206",4,3.84335808497839,0,4.9715,6.76301248846559
"207",4,3.84335808497839,0,4.94,5.73299486524149
"208",4,3.84335808497839,0,4.8985,6.33300884623314
"260",7,3.84335808497839,0,5.772,5.39981760215812
"261",7,3.84335808497839,0,5.8085,5.52859837190716
"262",7,3.84335808497839,0,6.2165,5.34957596504862
"263",7,3.84335808497839,0,5.814,3.94522890958581
"264",7,3.84335808497839,0,5.789,3.94522890958581
"265",7,3.84335808497839,0,5.834,3.94522890958581
"266",7,3.84335808497839,0,4.298,3.94522890958581
"267",7,3.84335808497839,0,4.56366666666667,3.7186569128653
"287",1,3.84335808497839,0,2.99,3.21873818342118
"288",1,3.84335808497839,0,2.6235,3.17548036656322
"289",1,3.84335808497839,0,2.54166666666667,3.26480887534711
"290",1,3.84335808497839,0,3.97333333333333,3.5232324514685
"291",1,3.84335808497839,0,3.94133333333333,3.4353707640614
"292",1,3.84335808497839,0,3.2325,3.88705129110773
"293",1,3.84335808497839,0,2.6525,3.25927997476772
"294",1,3.84335808497839,0,2.075,2.98525312245781
"295",1,3.84335808497839,0,2.9725,3.3421843316454
"296",1,3.84335808497839,0,2.445,3.07618721003984
"297",1,3.84335808497839,0,1.9525,3.17813593554783
"298",1,3.84335808497839,0,2.786,3.43009573917332
"299",1,3.84335808497839,0,3.97383333333333,3.87693027438426
