"","Actual","ANN","OL","RF","SVM"
"1",4,3.84373618302218,0,4,3.95585562487087
"2",4,3.84373618302218,0,4,4.0397253222342
"3",4,3.84373618302218,0,3.399,3.85055513844167
"4",4,3.84373618302218,0,4.176,4.28110023082646
"5",4,3.84373618302218,0,3.6225,3.84842360299094
"6",4,3.84373618302218,0,4.925,3.86049604018521
"7",4,3.84373618302218,0,4,3.89430849538277
"8",4,3.84373618302218,0,4,3.96182796339192
"9",4,3.84373618302218,0,4,3.95883298441751
"10",4,3.84373618302218,0,4,3.97396563117897
"11",4,3.84373618302218,0,4,3.86725471235316
"12",4,3.84373618302218,0,3.68,3.84472201005568
"13",4,3.84373618302218,0,4,3.93699547118195
"14",4,3.84373618302218,0,4.031,3.84335659153977
"15",4,3.84373618302218,0,4,3.89430849538277
"16",4,3.84373618302218,0,1.7845,3.85311887576895
"17",4,3.84373618302218,0,4.19,3.87814210920887
"18",4,3.84373618302218,0,4,3.97090939961837
"19",4,3.84373618302218,0,4.763,3.84893049737711
"20",4,3.84373618302218,0,4.067,3.84945821425718
"21",4,3.84373618302218,0,4.031,3.84335659153977
"22",4,3.84373618302218,0,4.031,3.84369913504665
"23",4,3.84373618302218,0,2.703,3.84291577475747
"78",4,3.84373618302218,0,4.0025,4.02246569068699
"79",4,3.84373618302218,0,3.2195,3.96571870918439
"80",4,3.84373618302218,0,3.26353571428571,4.0067703411953
"81",4,3.84373618302218,0,3.976,3.93356959626024
"82",4,3.84373618302218,0,4,4.05467302876341
"83",4,3.84373618302218,0,4.0025,4.03443620249003
"84",4,3.84373618302218,0,3.4815,3.87825562447346
"85",4,3.84373618302218,0,4.015,4.04047437262872
"86",4,3.84373618302218,0,4.03,4.10387600832183
"87",4,3.84373618302218,0,4,3.90668075274333
"88",4,3.84373618302218,0,4,4.07924408390487
"89",4,3.84373618302218,0,3.9075,3.86544405550488
"90",4,3.84373618302218,0,4.0025,4.0264388211128
"91",4,3.84373618302218,0,5.173,4.14432018450725
"92",4,3.84373618302218,0,4,3.90668075274333
"93",4,3.84373618302218,0,2.9765,3.96394190265628
"94",4,3.84373618302218,0,5.5065,4.19208474991441
"136",8,3.84373618302218,0,2,2.06060880988796
"139",3,3.84373618302218,0,3.0295,3.8223439221565
"140",3,3.84373618302218,0,3.0295,3.09549329757844
"141",3,3.84373618302218,0,3.28933333333333,3.83964078470557
"148",2,3.84373618302218,0,2.1535,2.15929713839829
"149",2,3.84373618302218,0,3.0995,2.15758276284932
"150",2,3.84373618302218,0,2,2.07350246512869
"151",2,3.84373618302218,0,2,2.03475094789318
"152",2,3.84373618302218,0,2.3195,2.16019295713246
"153",2,3.84373618302218,0,2,2.1054209742818
"154",2,3.84373618302218,0,2,2.03058041323904
"171",6,3.84373618302218,0,4,3.8700810287446
"172",6,3.84373618302218,0,4.763,3.84893049737711
"173",6,3.84373618302218,0,3.06866666666667,3.83993585581417
"174",6,3.84373618302218,0,2.703,3.84395262823666
"187",4,3.84373618302218,0,5.3115,4.20283307404655
"188",4,3.84373618302218,0,4.86783333333333,3.89859029237967
"189",4,3.84373618302218,0,4.1155,3.99144419662266
"190",4,3.84373618302218,0,3.996,3.93517115394531
"191",4,3.84373618302218,0,4.20666666666667,3.99523727720949
"192",4,3.84373618302218,0,4,3.92115369034261
"193",4,3.84373618302218,0,3.3935,3.98208378095378
"194",4,3.84373618302218,0,3.28933333333333,3.83958863090208
"195",4,3.84373618302218,0,4,3.91089558990404
"196",4,3.84373618302218,0,2.914,3.97472982761158
"197",4,3.84373618302218,0,4,4.04654251635999
"198",4,3.84373618302218,0,3.26353571428571,4.01457631141559
"199",4,3.84373618302218,0,3.26353571428571,4.00871352258841
"200",4,3.84373618302218,0,4,3.9080733323704
"201",4,3.84373618302218,0,2.15716666666667,3.85871190652489
"202",4,3.84373618302218,0,2.7965,3.9450009297612
"203",4,3.84373618302218,0,4,3.92266618864845
"204",4,3.84373618302218,0,3.58,3.94835890535813
"205",4,3.84373618302218,0,3.4745,3.98023370812789
"206",4,3.84373618302218,0,2.271,3.93039891799021
"207",4,3.84373618302218,0,4,3.91522040455697
"208",4,3.84373618302218,0,4.86783333333333,3.89859029237967
"260",7,3.84373618302218,0,5.876,4.30752657963398
"261",7,3.84373618302218,0,6.216,4.29769551694738
"262",7,3.84373618302218,0,5.593,4.28593743298217
"263",7,3.84373618302218,0,6.808,4.25756178686293
"264",7,3.84373618302218,0,3.465,4.21829450523281
"265",7,3.84373618302218,0,5.984,4.30704565004776
"266",7,3.84373618302218,0,4,4.05263660351553
"267",7,3.84373618302218,0,3.26353571428571,4.0126166473329
"287",1,3.84373618302218,0,2.4045,3.8399950802026
"288",1,3.84373618302218,0,2.04616666666667,3.83969426154793
"289",1,3.84373618302218,0,2.8215,3.87612596654628
"290",1,3.84373618302218,0,4,3.86912427553798
"291",1,3.84373618302218,0,4,4.0970433416136
"292",1,3.84373618302218,0,3.15683333333333,3.98580632667143
"293",1,3.84373618302218,0,4.381,4.30378946926343
"294",1,3.84373618302218,0,2.4045,3.83989120221332
"295",1,3.84373618302218,0,2.483,3.93840618509996
"296",1,3.84373618302218,0,4.403,3.89599638968334
"297",1,3.84373618302218,0,3.62027380952381,3.88498212346307
"298",1,3.84373618302218,0,3.2874880952381,3.88974266041969
"299",1,3.84373618302218,0,2.8215,3.87612596654628
