"","Actual","ANN","OL","RF","SVM"
"1",4,3.921851395291,0,4,3.89344958130078
"2",4,3.69462707311596,0,4.5805,4.01076692429906
"3",4,3.76977696519046,0,1.482,3.84195057568035
"4",4,4.06743039829602,0,4.01866666666667,4.0707035336275
"5",4,3.82959711393114,0,4.064,3.84408749941659
"6",4,5.7370550479308,0,5.81666666666667,5.89411360539663
"7",4,4.46546615337333,0,4.88166666666667,4.6947511780661
"8",4,3.70393321373892,0,2.514,3.89523249931885
"9",4,3.89638349632392,0,4,3.87348977128314
"10",4,4.09540253909295,0,4.01866666666667,4.11238765515256
"11",4,4.30809429873242,0,4.34366666666667,4.45090503471093
"12",4,3.94690981347544,0,4,3.91713554514653
"13",4,3.71075436338633,0,4.62416666666667,3.86177108908148
"14",4,4.03845078205515,0,4.0845,4.02930985010006
"15",4,3.77592986902461,0,1.354,3.84184580194115
"16",4,3.73645134039129,0,3.829,3.84021816202863
"17",4,3.76275303261577,0,3.134,3.84192855400403
"18",4,4.13110906304384,0,4.46766666666667,4.16741080565973
"19",4,3.91407263249826,0,4,3.88688777260015
"20",4,3.75883861758176,0,2.17,3.84182495796504
"21",4,3.87619644369765,0,4,3.86096415505444
"22",4,3.79678705352607,0,3.968,3.84142253825485
"23",4,3.97921078362641,0,2.6175,3.95270904433043
"78",4,3.70223861125792,0,3.97,3.90855377264375
"79",4,3.70341776486605,0,3.4965,3.89901557819162
"80",4,3.69740479017784,0,4.825,3.96378720909864
"81",4,3.73353251742094,0,2.338,3.8401524328476
"82",4,3.74637479490171,0,3.957,3.84101221906238
"83",4,3.71704797844359,0,3.8215,3.84804318344089
"84",4,3.70566632163421,0,2.72066666666667,3.88404174828546
"85",4,3.69892923836534,0,4.066,3.9431449209992
"86",4,3.70033405594117,0,4,3.92690395787491
"87",4,3.70916999696842,0,4.853,3.86731255459196
"88",4,3.71447958947934,0,3.53483333333333,3.85234072144693
"89",4,3.68700636353567,0,6.3705,4.1739045109079
"90",4,3.71662248156388,0,3.84983333333333,3.84865608965883
"91",4,3.7193603671398,0,2.402,3.84528443123801
"92",4,3.69476169529977,0,4.5805,4.00818836316753
"93",4,3.69414054948395,0,5.2545,4.02034988311067
"94",4,3.71675285042092,0,3.84983333333333,3.84846447038512
"136",8,3.69926321189995,0,4.036,3.9390553862822
"139",3,3.68589416291328,0,5.16016666666667,4.16958483700621
"140",3,3.69920664480321,0,4.036,3.93973767940592
"141",3,3.86900178334324,0,4,3.85725008396852
"148",2,3.68272687276578,0,2.9045,3.83654572283727
"149",2,3.68318581355132,0,4,3.90931530457038
"150",2,3.69232802656521,0,3.0365,4.05959457063096
"151",2,3.68295157948286,0,3.69,3.86618169412398
"152",2,3.68343984275728,0,3.976,3.9572191280305
"153",2,3.68398614850167,0,3.96033333333333,4.04417928395756
"154",2,3.68772430878794,0,3.44383333333333,4.16542768749305
"171",6,5.41725202679106,0,5.81433333333333,5.70565728441786
"172",6,6.42215825243898,0,5.81666666666667,6.13435516990255
"173",6,5.73549113508812,0,5.81666666666667,5.8933295084899
"174",6,4.81695731259315,0,5.139,5.16119336119506
"187",4,3.68427008496056,0,3.70366666666667,4.0785426819984
"188",4,3.68392152140403,0,3.96033333333333,4.03532878050466
"189",4,3.6829053964547,0,3.38266666666667,3.85860781381935
"190",4,3.68296208975729,0,3.885,3.86797223984524
"191",4,3.68395817154189,0,3.96033333333333,4.04039599342781
"192",4,3.68264672627273,0,3.35933333333333,3.83292391977205
"193",4,3.68322053442199,0,4,3.91596505262276
"194",4,3.682528155584,0,3.90666666666667,3.84040294560027
"195",4,3.68318113449492,0,4,3.90841975407359
"196",4,3.68323026259889,0,4,3.91782790133335
"197",4,3.6834743203721,0,3.976,3.96346722700737
"198",4,3.68318514384952,0,4,3.90918711036105
"199",4,3.68370099738043,0,2.94033333333333,4.00216322454187
"200",4,3.68304267564744,0,4,3.88231783130506
"201",4,3.68306946496755,0,4,3.88726937084452
"202",4,3.68331125849891,0,3.84,3.93326953195351
"203",4,3.68296739481274,0,3.915,3.86888428460182
"204",4,3.68270483564717,0,3.13633333333333,3.83502855677327
"205",4,3.68282193378221,0,2.78866666666667,3.84652582381713
"206",4,3.68325710468129,0,3.98,3.92296215785707
"207",4,3.68281623133411,0,3.32666666666667,3.84579640353429
"208",4,3.6824936115453,0,3.88666666666667,3.84668998752648
"260",7,3.6854642577558,0,4.02866666666667,4.15854946566465
"261",7,3.69159979190522,0,3.4155,4.0767662874042
"262",7,3.6874233750084,0,4.86916666666667,4.1697128692287
"263",7,3.70616032784541,0,2.72066666666667,3.88124357348579
"264",7,3.68818304639165,0,4.45833333333333,4.15737240051235
"265",7,3.6956898088809,0,5.2175,3.99126676918288
"266",7,3.74143830566271,0,3.956,3.84057001828559
"267",7,3.70213756596571,0,3.97,3.90943201585187
"287",1,3.6906505263945,0,1.964,4.09995930791282
"288",1,3.68591561940488,0,5.16016666666667,4.16996505297032
"289",1,3.70157855367381,0,4,3.91447563153345
"290",1,3.70590456169227,0,2.72066666666667,3.88267210715912
"291",1,3.75251602823337,0,1.5295,3.8414984673994
"292",1,3.71420609915341,0,4.11966666666667,3.85289082255787
"293",1,3.81466839275167,0,4.024,3.84210529423202
"294",1,3.69114243659364,0,2.009,4.08785745087684
"295",1,3.70637301818762,0,3.397,3.8800878177926
"296",1,3.69619902022796,0,3.2785,3.98260680925307
"297",1,3.69812875395556,0,5.3675,3.95356696146064
"298",1,3.72919247071619,0,3.05316666666667,3.84045182626882
"299",1,3.73405135319019,0,2.338,3.84015233201739
