"","Actual","ANN","OL","RF","SVM"
"1",4,3.84358313842332,0,1.2875,3.84180437796122
"2",4,3.84354893437792,0,4.804,3.84708393183074
"3",4,3.84360109130021,0,4.12166666666667,3.84070441113393
"4",4,3.84367862897355,0,4.008,3.88797240409792
"5",4,3.84372929342179,0,4,3.96919008303385
"6",4,3.84377668188252,0,4,4.05489477977954
"7",4,3.8436814109296,0,4.008,3.89158677299131
"8",4,3.84359431344149,0,5.13766666666667,3.84080833781829
"9",4,3.84358257374501,0,1.2875,3.84187583601598
"10",4,3.84357192816747,0,3.653,3.84346490796492
"11",4,3.84379095628692,0,4,4.07789903527828
"12",4,3.84370624721571,0,4,3.92881479006869
"13",4,3.84364151687144,0,3.97,3.85260526882236
"14",4,3.84361724522485,0,3.904,3.84256010063829
"15",4,3.8435452018646,0,2.57516666666667,3.84750764532353
"16",4,3.84356068386928,0,2.843,3.84535179347857
"17",4,3.84370900582078,0,4,3.93341790362921
"18",4,3.84366212261597,0,1.84,3.86920735565679
"19",4,3.84364867841508,0,4,3.85750266665832
"20",4,3.84356328064967,0,3.3075,3.84491967112609
"21",4,3.84370204954203,0,4.04,3.92196624928865
"22",4,3.84372876851266,0,4,3.96823304725762
"23",4,3.84371769752464,0,4,3.9483836967956
"78",4,3.84365907714742,0,4,3.86626882420805
"79",4,3.84340620546286,0,1.84333333333333,3.78144563359784
"80",4,3.84335230923908,0,2.11533333333333,3.78403725673539
"81",4,3.84341469766114,0,1.47066666666667,3.78625229803124
"82",4,3.84334247649811,0,1.59016666666667,3.79246954753992
"83",4,3.84355896242206,0,2.843,3.84563210420558
"84",4,3.84346431569756,0,3.01166666666667,3.82315017388637
"85",4,3.84352487461261,0,3.994,3.84800444152447
"86",4,3.84351275486155,0,2.90716666666667,3.84637906612328
"87",4,3.84357354093484,0,3.528,3.84320199060058
"88",4,3.84361402526684,0,2.4255,3.84191961289978
"89",4,3.84348643423448,0,4.56266666666667,3.83691573025046
"90",4,3.84345820236928,0,2.785,3.81866656463595
"91",4,3.84338791669626,0,3.39633333333333,3.77501756957911
"92",4,3.84367067735415,0,4.008,3.87834579138553
"93",4,3.84319634878843,0,3.08516666666667,4.08826778132032
"94",4,3.84326691145894,0,3.30616666666667,3.93250447260422
"136",8,3.84364377165922,0,4,3.85404772646306
"139",3,3.84343823944794,0,1.645,3.80316249712441
"140",3,3.84345035357572,0,5.91133333333333,3.81265513554248
"141",3,3.8430673538011,0,5.648,4.15592337218866
"148",2,3.8433236723994,0,4.07083333333333,3.81594828637729
"149",2,3.84329888920724,0,4.39933333333333,3.86016301370114
"150",2,3.84339837144503,0,1.94733333333333,3.77795465035835
"151",2,3.84337539564935,0,3.12516666666667,3.77456793528013
"152",2,3.84343716826768,0,1.645,3.8023284050396
"153",2,3.8433116537877,0,4.802,3.83569068802813
"154",2,3.84329193012154,0,5.45016666666667,3.87479080860401
"171",6,3.84336180882367,0,2.2665,3.77842347543838
"172",6,3.84335347715816,0,2.112,3.78321363532833
"173",6,3.84351964597288,0,3.994,3.84750308177658
"174",6,3.84335725590062,0,4.9885,3.78080623295333
"187",4,3.84302924544741,0,4.0275,4.15190377455784
"188",4,3.84311009126827,0,4,4.15885833087133
"189",4,3.84311363164121,0,4,4.15849739823739
"190",4,3.84295746197203,0,4.528,4.16030471407592
"191",4,3.84324834235247,0,3.24366666666667,3.97749606499392
"192",4,3.84309329299677,0,4,4.15892128627246
"193",4,3.84311575534143,0,4,4.15821062171087
"194",4,3.8432234597736,0,5.43166666666667,4.03514751062033
"195",4,3.8432881406668,0,4.97433333333333,3.88307786725502
"196",4,3.84296282222619,0,4.528,4.15917698836868
"197",4,3.84316336153466,0,5.40216666666667,4.13285944362038
"198",4,3.84323404198607,0,6.07533333333333,4.01134629780255
"199",4,3.84294497599833,0,4.528,4.16289601186647
"200",4,3.84306263282443,0,5.243,4.15525226912564
"201",4,3.84330879510526,0,4.71416666666667,3.84087849421551
"202",4,3.8430597214696,0,5.113,4.15484541252092
"203",4,3.84308415070089,0,4,4.15812409212512
"204",4,3.84304419730499,0,5.7745,4.15295287507847
"205",4,3.84300525168227,0,4.0075,4.15241657963147
"206",4,3.84310600439341,0,4,4.15910654904482
"207",4,3.8430592618458,0,5.113,4.15478205228682
"208",4,3.84331077837166,0,5.20233333333333,3.83726030096736
"260",7,3.84319084629603,0,5.229,4.0973419381622
"261",7,3.84312111680783,0,4,4.15723254479219
"262",7,3.84324271067046,0,3.13233333333333,3.99099554074318
"263",7,3.84340067585601,0,1.94733333333333,3.77887636026397
"264",7,3.84339740970368,0,1.94733333333333,3.77759757425649
"265",7,3.8432091490469,0,4.54333333333333,4.06481158429865
"266",7,3.8433499585531,0,1.84933333333333,3.78580935394752
"267",7,3.84316672944983,0,5.62616666666667,4.12939725587907
"287",1,3.84341903989577,0,1.43466666666667,3.78904648331615
"288",1,3.843338930776,0,1.59016666666667,3.79616654269167
"289",1,3.84352066023013,0,3.994,3.84762338548702
"290",1,3.84347942709889,0,4.916,3.8330546520353
"291",1,3.84330602166399,0,4.59333333333333,3.84607921572625
"292",1,3.84342481859556,0,1.67633333333333,3.79304559995474
"293",1,3.84366198114617,0,1.84,3.86906715616792
"294",1,3.84353616079552,0,1.815,3.84815581526969
"295",1,3.84341733579617,0,1.47066666666667,3.78792608731595
"296",1,3.84352999460473,0,4.14,3.84822161168959
"297",1,3.84351097824668,0,2.78716666666667,3.84600027087966
"298",1,3.84353028961023,0,4.23666666666667,3.84822632320107
"299",1,3.84291306323395,0,4.875,4.16777185576428
