"","Actual","ANN","OL","RF","SVM"
"1",4,5.18643086594607,0,5.09916666666667,4.35041379136058
"2",4,5.18308271754204,0,4.94566666666667,4.98953477969494
"3",4,5.18729655669565,0,4.908,4.21840702789645
"4",4,5.18734775109752,0,5.096,5.40380825126927
"5",4,5.1870338774907,0,4.821,4.95155470814763
"6",4,5.16600289957269,0,4.903,6.50753345209752
"7",4,5.18736908755672,0,4.345,4.54030148933158
"8",4,5.15618289983258,0,5.024,6.40856873875939
"9",4,5.18572356091755,0,4.6425,4.78266370980131
"10",4,5.18696327297033,0,4.9335,5.66384132677159
"11",4,5.12470894601799,0,5.7435,6.16079133186639
"12",4,5.1832806829941,0,4.83966666666667,4.30404147426939
"13",4,5.18445314401034,0,4.81183333333333,6.36118336089042
"14",4,5.18550021865674,0,4.9325,4.4837044133189
"15",4,5.14992179670461,0,4.77566666666667,4.93827654937579
"16",4,5.1824914729606,0,5.02333333333333,5.62408888227749
"17",4,5.18668662199208,0,5.114,5.18372155758246
"18",4,5.17721998383988,0,5.1025,6.11945622230437
"19",4,5.17916651014209,0,4.45583333333333,5.54456966862142
"20",4,5.16855380160672,0,5.40583333333333,5.09007874625253
"21",4,5.18715028360615,0,4.5635,4.28910704059491
"22",4,5.18736570116989,0,4.772,4.68093880283102
"23",4,5.08921172073298,0,5.13433333333333,4.31997465226169
"78",4,0.683664922400558,0,3.529,3.99944335344118
"79",4,0.683665597646144,0,3.9285,3.99944335344118
"80",4,0.683664922400558,0,3.5165,3.99944335344118
"81",4,0.683664922400558,0,3.4465,3.99944335344118
"82",4,0.683664922400559,0,3.52083333333333,3.99944335344118
"83",4,0.683664922400563,0,3.819,3.99944335344118
"84",4,0.683664922400558,0,3.5825,3.99944335344118
"85",4,0.68366492240056,0,3.604,3.99944335344118
"86",4,0.683664922406074,0,3.4765,3.99944335344118
"87",4,0.683664922400594,0,3.7015,3.99944335344118
"88",4,0.683664922400593,0,3.414,3.99944335344118
"89",4,0.683664922400596,0,3.87666666666667,3.99944335344118
"90",4,0.728379133735265,0,2.61316666666667,3.93665078390739
"91",4,1.15128976372127,0,2.98183333333333,2.36463681579077
"92",4,3.32846830944156,0,2.96483333333333,2.91667617986224
"93",4,4.49663774290341,0,3.30916666666667,3.11975962357461
"94",4,3.00957631782027,0,3.24916666666667,2.19608287003072
"136",8,1.11041194680071,0,2.67866666666667,1.61292683049335
"139",3,2.06207317969899,0,2.92883333333333,2.12567199687265
"140",3,0.877616256212196,0,2.9715,2.09077983450361
"141",3,1.87503848934372,0,3.348,2.02556579051074
"148",2,0.748383830584617,0,2.91766666666667,1.77652722208165
"149",2,3.12397396112315,0,3.162,1.83400327917345
"150",2,1.89348409331293,0,2.33283333333333,1.87835659624786
"151",2,0.708902046988657,0,2.41166666666667,2.04252107505058
"152",2,2.30603176319614,0,3.32483333333333,2.18981008750902
"153",2,3.96265318683098,0,2.90333333333333,2.54577733659955
"154",2,0.860713075547853,0,3.01816666666667,1.26281569878653
"171",6,3.08845958718721,0,3.10983333333333,2.64981459144765
"172",6,3.59685299001636,0,3.1345,3.08843830572411
"173",6,3.0720243320451,0,3.7045,4.15098254132626
"174",6,3.86485256753646,0,3.7385,3.91765696530241
"187",4,4.31008184506182,0,3.99,4.02940144412301
"188",4,4.42012781658685,0,4.074,4.03345203904573
"189",4,4.44039876670411,0,3.85533333333333,3.89341993688051
"190",4,4.24641867322843,0,3.9925,4.06647175511474
"191",4,4.25820183108576,0,3.97,4.04430955902678
"192",4,3.87684738784053,0,3.95333333333333,4.06433566297564
"193",4,3.70987783415652,0,4.24566666666667,4.13062493130882
"194",4,3.58139969788341,0,3.928,3.94733085717292
"195",4,3.74271501476535,0,4.0725,4.28058135812439
"196",4,4.04419040505108,0,4.0775,3.95112783927228
"197",4,4.51073940952628,0,4.06,4.03394716274744
"198",4,3.96034558245502,0,3.985,3.91673511019736
"199",4,3.5455583120509,0,4.02416666666667,3.94670024221785
"200",4,3.70076420658078,0,4.125,4.02830778064381
"201",4,4.12891337787779,0,3.885,3.91393649872683
"202",4,3.66602453621763,0,4.085,3.96518699942493
