"","Actual","ANN","OL","RF","SVM"
"1",4,3.99213778315519,0,4.00666666666667,4.20487710498161
"2",4,3.99213155616166,0,2.776,3.36294502799077
"3",4,3.99213768549583,0,3.19816666666667,3.83220924793093
"4",4,3.99213777347198,0,3.045,3.82669434580845
"5",4,3.99213774782751,0,3.974,3.84362259172828
"6",4,3.99213778789212,0,5.651,5.82292614210718
"7",4,3.99213778764093,0,4.442,4.88100374845116
"8",4,3.99213578072122,0,3.54833333333333,3.5721258124763
"9",4,3.99213778163454,0,4.00666666666667,4.16886947832976
"10",4,3.99213778682147,0,4.13433333333333,4.45556690782759
"11",4,3.9921377868252,0,4.44033333333333,4.59226066916135
"12",4,3.99213777931141,0,4.004,4.04728824414874
"13",4,3.99213667994799,0,3.86333333333333,3.65540687254754
"14",4,3.9921377848162,0,4.346,4.26375912675496
"15",4,3.99213772172611,0,3.4255,3.8970118939895
"16",4,3.99213726423221,0,2.16666666666667,3.76358362674636
"17",4,3.99213768282116,0,3.77133333333333,3.85252265618188
"18",4,3.99213778702475,0,4.21333333333333,4.49986689415343
"19",4,3.99213777916418,0,3.909,4.07025785830354
"20",4,3.99213764292536,0,3.38516666666667,3.81176674717336
"21",4,3.9921377731189,0,4.019,3.98871395929489
"22",4,3.99213773175303,0,3.989,3.86001263559047
"23",4,3.99213778168647,0,3.713,4.11023628988362
"78",4,3.99212579636481,0,3.9795,4.08332858834104
"79",4,3.99212892325405,0,2.8095,3.99413273018486
"80",4,3.99211485847834,0,3.753,4.12573772114243
"81",4,3.99213691574169,0,1.98316666666667,3.794417777591
"82",4,3.99213708662852,0,3.88,3.77904664266755
"83",4,3.99213469706199,0,3.9625,3.93931747218963
"84",4,3.99213277594628,0,3.4625,3.84291371092017
"85",4,3.99211802934547,0,4.012,4.15443242010666
"86",4,3.99211875618893,0,4.205,4.21774213564209
"87",4,3.99213379379555,0,3.55383333333333,3.8721863118419
"88",4,3.99213357885799,0,4.00483333333333,3.99788445109148
"89",4,3.99189468732154,0,4.836,3.85603787368453
"90",4,3.99213466706229,0,3.9625,3.93691946355937
"91",4,3.99213428648934,0,4.53333333333333,3.99307919163351
"92",4,3.99211076068527,0,3.785,3.96286116487864
"93",4,3.99210066821934,0,3.1545,4.09258639631041
"94",4,3.99213298912706,0,3.95783333333333,4.05743585070914
"136",8,3.7569034886704,0,3.9705,3.88709505216481
"139",3,3.98533449450669,0,3.2265,4.69111659616294
"140",3,3.99178463566156,0,4.41183333333333,4.17393389858835
"141",3,3.99213776983071,0,4.17783333333333,3.9508746109592
"148",2,1.98432937573447,0,2.14366666666667,1.99371313867281
"149",2,2.05529648740284,0,2.56766666666667,1.96422081654902
"150",2,3.2967837368156,0,3.50233333333333,3.43081693328854
"151",2,1.94425006999557,0,2.058,1.87399875136731
"152",2,2.18522927675753,0,2.45766666666667,2.04716091728053
"153",2,2.13990103242498,0,2.079,2.07582952117183
"154",2,2.76436560746358,0,2.982,2.84452178347337
"171",6,3.99213778784907,0,5.83566666666667,5.66275450873466
"172",6,3.99213778790375,0,5.70433333333333,6.10581873973111
"173",6,3.99213778788439,0,5.83066666666667,5.85333158238509
"174",6,3.99213778773564,0,5.39466666666666,5.2166779956429
"187",4,3.98680731747611,0,5.3775,4.55005104432903
"188",4,3.98864739841271,0,4,3.96723452992357
"189",4,3.95462876573347,0,3.98,4.06363494007242
"190",4,3.96543564657804,0,4.018,3.99580506520967
"191",4,3.98760439002968,0,4,4.1886921449801
"192",4,3.91121392513508,0,3.9665,3.93551599016439
"193",4,3.97635142230643,0,3.9925,4.10048461630401
"194",4,3.90360483802518,0,3.255,3.7667009752191
"195",4,3.97834614129818,0,4,3.97009562339739
"196",4,3.97701612349254,0,3.9925,4.09014710770328
"197",4,3.9809578018384,0,4.254,4.22959302708105
"198",4,3.97340923554444,0,3.99,4.14261606001356
"199",4,3.98527336821543,0,3.97,4.19421635221623
"200",4,3.97278613800241,0,4,3.95520082503621
"201",4,3.9779240915575,0,3.4445,3.8270562773191
"202",4,3.98054272802061,0,4.018,4.04710391058694
"203",4,3.96692707304724,0,4,3.97582867008938
"204",4,3.92371876283285,0,3.984,3.97565775577677
"205",4,3.94415647905327,0,3.9325,4.03396786475169
"206",4,3.97971452590525,0,4.158,4.01493608325279
"207",4,3.95214464472344,0,3.96,3.9483992725127
"208",4,3.82283296423376,0,3.989,3.89240458400529
"260",7,3.98900435097176,0,6.09833333333333,4.85426350873589
"261",7,3.99194640205426,0,6.488,4.74890431975944
"262",7,3.9913778103617,0,6.5,4.80345341484984
"263",7,3.99212284817005,0,5.7455,4.29435468644028
"264",7,3.99172330149514,0,6.2115,4.65611047061808
"265",7,3.99204997893671,0,6.329,4.66718631659254
"266",7,3.99213693441781,0,3.9065,3.79834862164775
"267",7,3.99212596111034,0,3.8435,4.07165554416401
"287",1,3.99209527644905,0,1.3705,3.62104827290843
"288",1,3.99179340061035,0,3.12233333333333,3.63124882866322
"289",1,3.99212977845384,0,3.88,3.85360133101305
"290",1,3.99213312877594,0,3.502,3.82405143083168
"291",1,3.99213716653297,0,3.233,3.7615891390493
"292",1,3.99213443582984,0,2.90083333333333,3.9233282886017
"293",1,3.99213746598375,0,3.585,3.55431702096507
"294",1,3.99210066394227,0,1.3705,3.62828285482773
"295",1,3.99213191360779,0,3.0245,3.93193552659145
"296",1,3.99211802288142,0,3.51175,3.92725872379138
"297",1,3.99212414153758,0,3.92125,3.88962711341563
"298",1,3.99213686361541,0,2.07275,3.7870026004287
"299",1,3.99213711079284,0,2.1515,3.77266277452152
