"","Actual","ANN","OL","RF","SVM"
"1",4,3.84320929228221,0,4.084,4.06142642117163
"2",4,3.84320929228221,0,4.507,3.91193233741622
"3",4,3.84320929228221,0,4.1055,4.17083657193045
"4",4,3.84320929228221,0,3.79983333333333,4.14102920215165
"5",4,3.84320929228221,0,4.05,4.03844194534635
"6",4,3.84320929228221,0,4.54266666666667,4.27460371641789
"7",4,3.84320929228221,0,4.41466666666667,4.10355555888216
"8",4,3.84320929228221,0,4.33766666666667,3.94516181857171
"9",4,3.84320929228221,0,4.075,4.30647150574397
"10",4,3.84320929228221,0,4.36233333333333,4.19974879016124
"11",4,3.84320929228221,0,3.92083333333333,3.76920002379821
"12",4,3.84320929228221,0,3.966,3.94547915215096
"13",4,3.84320929228221,0,4.00466666666667,3.63044876311878
"14",4,3.84320929228221,0,4.11566666666667,4.24390795976909
"15",4,3.84320929228221,0,3.98,3.91251176044738
"16",4,3.84320929228221,0,4.28166666666667,4.34402971121978
"17",4,3.84320929228221,0,4.005,3.81128811022545
"18",4,3.84320929228221,0,4.084,4.02882544479738
"19",4,3.84320929228221,0,4.425,4.32157589726397
"20",4,3.84320929228221,0,4.12033333333333,3.52330730266855
"21",4,3.84320929228221,0,4.03666666666667,4.12670817028414
"22",4,3.84320929228221,0,4,3.91276189933617
"23",4,3.84320929228221,0,4.1525,4.25138232487749
"78",4,3.84320929228221,0,4.032,4.02393478587466
"79",4,3.84320929228221,0,3.97233333333333,4.02465489437363
"80",4,3.84320929228221,0,3.892,4.07125032781072
"81",4,3.84320929228221,0,3.937,3.97906061755612
"82",4,3.84320929228221,0,3.946,3.96210818314108
"83",4,3.84320929228221,0,4,4.25842375547387
"84",4,3.84320929228221,0,3.987,4.0098154088029
"85",4,3.84320929228221,0,3.977,3.80049113789471
"86",4,3.84320929228221,0,3.599,3.83658283695523
"87",4,3.84320929228221,0,4,4.15708611363616
"88",4,3.84320929228221,0,4,4.2352128306066
"89",4,3.84320929228221,0,3.93166666666667,3.71204738166228
"90",4,3.84320929228221,0,3.97933333333333,3.94710222803672
"91",4,3.84320929228221,0,4.23666666666667,2.98658252185006
"92",4,3.84320929228221,0,3.878,4.12809597989302
"93",4,3.84320929228221,0,3.86816666666667,4.60999783875146
"94",4,3.84320929228221,0,4.584,4.48470548266199
"136",8,3.84320929228221,0,4.84483333333333,4.7502083274396
"139",3,3.84320929228221,0,2.80016666666667,3.39680027481942
"140",3,3.84320929228221,0,2.81816666666667,2.56602556910142
"141",3,3.84320929228221,0,4.94616666666667,6.06681116943135
"148",2,3.84320929228221,0,2.03,1.97498126606653
"149",2,3.84320929228221,0,1.99966666666667,1.85185355791671
"150",2,3.84320929228221,0,2.054,2.30790120041493
"151",2,3.84320929228221,0,1.98666666666667,1.95327478725392
"152",2,3.84320929228221,0,2.28666666666667,2.41373756576794
"153",2,3.84320929228221,0,2.08866666666667,2.23090622370259
"154",2,3.84320929228221,0,2.11666666666667,1.98413963148656
"171",6,3.84320929228221,0,5.57133333333333,5.937617702666
"172",6,3.84320929228221,0,5.36366666666667,5.87676704997882
"173",6,3.84320929228221,0,5.47933333333333,5.73709276039835
"174",6,3.84320929228221,0,5.61333333333333,5.88780603999923
"187",4,3.84320929228221,0,5.033,4.73299258038887
"188",4,3.84320929228221,0,4.093,4.52685010218758
"189",4,3.84320929228221,0,4,4.40520347743601
"190",4,3.84320929228221,0,4.61216666666667,4.46084433357551
"191",4,3.84320929228221,0,4.4115,5.15978451541335
"192",4,3.84320929228221,0,4,3.72657637522556
"193",4,3.84320929228221,0,4.284,4.33665235463637
"194",4,3.84320929228221,0,4.045,3.63455942536779
"195",4,3.84320929228221,0,4.08416666666667,3.84809795439313
"196",4,3.84320929228221,0,4.112,4.56434221512611
"197",4,3.84320929228221,0,4.242,3.99691938155503
"198",4,3.84320929228221,0,4.938,4.75887797940604
"199",4,3.84320929228221,0,4.145,4.24806586416887
"200",4,3.84320929228221,0,4,3.85309443221482
"201",4,3.84320929228221,0,4.04166666666667,4.20199007712335
"202",4,3.84320929228221,0,4,4.13319486484678
"203",4,3.84320929228221,0,4.036,3.80490245651201
"204",4,3.84320929228221,0,4.27566666666667,4.43894217434222
"205",4,3.84320929228221,0,4,3.97955081018523
"206",4,3.84320929228221,0,4.093,3.90311517746826
"207",4,3.84320929228221,0,4.012,3.75754866612067
"208",4,3.84320929228221,0,4.04166666666667,3.77157538081194
"260",7,3.84320929228221,0,5.15166666666667,5.34319150758354
"261",7,3.84320929228221,0,5.60416666666667,5.78265390062872
"262",7,3.84320929228221,0,6.8675,5.96578713458835
"263",7,3.84320929228221,0,6.14366666666667,5.9114281381406
"264",7,3.84320929228221,0,6.2425,5.24057048342482
"265",7,3.84320929228221,0,6.51,6.36910038033924
"266",7,3.84320929228221,0,5.57833333333333,6.15753062747942
"267",7,3.84320929228221,0,5.0715,5.88884910708392
"287",1,3.84320929228221,0,2.403,2.50884013535113
"288",1,3.84320929228221,0,2.488,1.82658535624162
"289",1,3.84320929228221,0,1.45766666666667,1.32831171418125
"290",1,3.84320929228221,0,4.41383333333333,2.74424809406243
"291",1,3.84320929228221,0,4.959,3.59924048551036
"292",1,3.84320929228221,0,3.33,3.67467057686078
"293",1,3.84320929228221,0,1.90383333333333,1.8405862630568
"294",1,3.84320929228221,0,1.05,0.669534172018963
"295",1,3.84320929228221,0,2.4305,2.24818523433717
"296",1,3.84320929228221,0,1.215,1.32839618890755
"297",1,3.84320929228221,0,1.036,0.97568421022735
"298",1,3.84320929228221,0,1.1875,1.79028492022308
"299",1,3.84320929228221,0,4.949,4.00337136894714
