"","t.cvCosineSim.","groupName"
"X0",0.98945779995873,"PastorAnderson_train6"
"V2",0.9899165233248,"PastorAnderson_train6"
"V3",0.990541571922792,"PastorAnderson_train6"
"V4",0.988581441077265,"PastorAnderson_train6"
"V5",0.987726790756351,"PastorAnderson_train6"
"V6",0.989355768708182,"PastorAnderson_train6"
"V7",0.990771796312113,"PastorAnderson_train6"
"V8",0.989735076050906,"PastorAnderson_train6"
"V9",0.990738483014074,"PastorAnderson_train6"
"V10",0.990846703973862,"PastorAnderson_train6"
