"","Actual","ANN","OL","RF","SVM"
"1",4,3.66394552427808,0,4.1605,4.00274825844658
"2",4,4.13760148560597,0,5.94666666666667,4.20439102090886
"3",4,4.25589542588885,0,3.38433333333333,3.97449550951891
"4",4,4.03339860811682,0,4.6305,4.00238433756761
"5",4,3.91024472811347,0,4.09933333333333,4.00801904553111
"6",4,4.28134197072477,0,3.30183333333333,3.88841787669205
"7",4,4.4008213192284,0,4.86283333333333,3.93098901207456
"8",4,4.41083291007791,0,4.10483333333333,3.92084661806637
"9",4,4.33490247593433,0,4.07716666666667,3.84877002428352
"10",4,4.1891733953702,0,3.6845,4.06017442998748
"11",4,3.25558010362742,0,3.16866666666667,2.91020183499398
"12",4,4.28254206428662,0,4,3.86014080879203
"13",4,4.09190388687862,0,4.16633333333333,4.00988095873359
"14",4,4.11571012082685,0,3.8725,4.1449345509754
"15",4,3.7790517944622,0,3.90383333333333,4.03557303203658
"16",4,4.14824377166102,0,4.43101190476191,4.13570312768758
"17",4,3.83925352435959,0,4.24683333333333,4.06739096940886
"18",4,4.26420830975886,0,3.41966666666667,3.82532211354841
"19",4,4.08526708043507,0,4.23666666666667,3.90922031443025
"20",4,3.29308772841796,0,2.38483333333333,2.61509946169011
"21",4,4.36111778582269,0,3.65483333333333,3.87251539607415
"22",4,3.98875813636778,0,3.65266666666667,4.12036649531277
"23",4,4.07450337927848,0,4.50983333333333,3.71330936576343
"78",4,4.53146049160847,0,3.972,4.02886057856789
"79",4,4.33485516016569,0,4,3.8556976499146
"80",4,3.98931019527685,0,4.974,4.23214175111649
"81",4,3.43908830396586,0,3.46033333333333,3.886642153694
"82",4,3.61386522737708,0,2.91383333333333,3.63751054302314
"83",4,4.39076777582255,0,3.65866666666667,3.90937532554859
"84",4,4.02638851712668,0,4.4645,4.13356681582325
"85",4,3.28712543464555,0,2.75966666666667,2.76253964508511
"86",4,4.04959293213068,0,4,3.92497467084774
"87",4,4.4295941738304,0,4.02,3.92926464499524
"88",4,4.27858210781822,0,4.114,3.83213178896029
"89",4,3.95109318198271,0,4.02283333333333,4.08574273052699
"90",4,4.31277041643694,0,3.99333333333333,3.86416720023532
"91",4,2.46249126018102,0,1.89133333333333,2.07873776871295
"92",4,3.68318275941974,0,3.18321428571429,3.89095276287305
"93",4,4.04562987217112,0,5.2035,4.25739619514028
"94",4,4.21589502948942,0,4.08333333333333,3.93377915783155
"136",8,4.49876471688268,0,5.11016666666667,3.88044148144413
