"","Actual","ANN","OL","RF","SVM"
"1",4,3.84381373336647,0,3.94083333333333,4.06304758488821
"2",4,3.84381373336647,0,3.71066666666667,3.56122311673025
"3",4,3.84381373336647,0,3.4545,3.8362783214559
"4",4,3.84381373336647,0,2.76966666666667,4.05009845874664
"5",4,3.84381373336647,0,4.01466666666667,4.04937820139432
"6",4,3.84381373336647,0,4.73966666666667,4.58083936758323
"7",4,3.84381373336647,0,4.134,4.289047044312
"8",4,3.84381373336647,0,3.90316666666667,3.6700830462073
"9",4,3.84381373336647,0,4.316,4.19249556749828
"10",4,3.84381373336647,0,4.388,4.48378835326497
"11",4,3.84381373336647,0,4.015,4.04469306982554
"12",4,3.84381373336647,0,3.981,4.00375810352193
"13",4,3.84381373336647,0,3.725,3.7221038418564
"14",4,3.84381373336647,0,4.04433333333333,4.16572968382131
"15",4,3.84381373336647,0,2.9805,3.66025333017201
"16",4,3.84381373336647,0,2.53066666666667,3.86991500133671
"17",4,3.84381373336647,0,3.809,3.95062021477759
"18",4,3.84381373336647,0,3.91733333333333,4.19931827609602
"19",4,3.84381373336647,0,3.97283333333333,4.14579534404089
"20",4,3.84381373336647,0,4.16566666666667,4.02744900034773
"21",4,3.84381373336647,0,3.994,4.03214983582289
"22",4,3.84381373336647,0,4.06066666666667,4.0479136063049
"23",4,3.84381373336647,0,3.98,4.10145342602084
"78",4,3.84381373336647,0,3.8555,4.03726463630511
"79",4,3.84381373336647,0,2.7515,3.73044872780207
"80",4,3.84381373336647,0,3.6525,3.87286277044539
"81",4,3.84381373336647,0,2.7725,3.69760031275656
"82",4,3.84381373336647,0,3.3455,3.76893961112632
"83",4,3.84381373336647,0,3.592,3.81172488209904
"84",4,3.84381373336647,0,3.6225,3.85085778401361
"85",4,3.84381373336647,0,3.5985,3.81584084765888
"86",4,3.84381373336647,0,4.01083333333333,3.770877112198
"87",4,3.84381373336647,0,2.4945,3.6925541592311
"88",4,3.84381373336647,0,3.674,3.84153741624672
"89",4,3.84381373336647,0,3.34866666666667,3.9248720444688
"90",4,3.84381373336647,0,3.7545,3.83711776909889
"91",4,3.84381373336647,0,3.433,3.99016840568973
"92",4,3.84381373336647,0,3.8105,4.12782028713551
"93",4,3.84381373336647,0,3.00066666666667,4.3654335195483
"94",4,3.84381373336647,0,3.69083333333333,4.08006660314906
"136",8,3.84381373336647,0,4.3935,5.52668094298965
"139",3,3.84381373336647,0,2.449,4.05186973830053
"140",3,3.84381373336647,0,2.69266666666667,4.21206857271805
"141",3,3.84381373336647,0,5.19166666666667,6.22732560915543
"148",2,3.84381373336647,0,2.65016666666667,2.25572527008055
"149",2,3.84381373336647,0,2.242,1.90317678411026
"150",2,3.84381373336647,0,2.32183333333333,2.62471252991087
"151",2,3.84381373336647,0,2.032,1.90546045211495
"152",2,3.84381373336647,0,2.36233333333333,2.2196730988735
"153",2,3.84381373336647,0,2.24033333333333,1.90981168845585
"154",2,3.84381373336647,0,4.404,2.33612814952898
"171",6,3.84381373336647,0,5.6485,6.10213211693962
"172",6,3.84381373336647,0,5.26433333333333,6.08980615222568
"173",6,3.84381373336647,0,5.46366666666667,5.56482518602414
"174",6,3.84381373336647,0,4.89433333333333,5.68568150328964
"187",4,3.84381373336647,0,4.86883333333333,4.57893315542564
"188",4,3.84381373336647,0,4,4.23795473206777
"189",4,3.84381373336647,0,4,4.0150956168429
"190",4,3.84381373336647,0,4.27,4.0598782675444
"191",4,3.84381373336647,0,4.10666666666667,4.40010623257931
"192",4,3.84381373336647,0,4,3.84551668328253
"193",4,3.84381373336647,0,3.99,4.17574958512712
"194",4,3.84381373336647,0,4.105,3.70947820889166
"195",4,3.84381373336647,0,3.959,4.01658883648914
"196",4,3.84381373336647,0,4.02,4.10751861008437
"197",4,3.84381373336647,0,4.291,4.36581776846818
"198",4,3.84381373336647,0,4.21666666666667,4.13408542023018
"199",4,3.84381373336647,0,4.3945,4.24126885652161
"200",4,3.84381373336647,0,4.015,3.87286048854099
"201",4,3.84381373336647,0,3.95516666666667,3.90613427262699
"202",4,3.84381373336647,0,4.015,4.1082779172014
"203",4,3.84381373336647,0,4,3.98451322698929
"204",4,3.84381373336647,0,4.015,3.88734123043125
"205",4,3.84381373336647,0,3.99,3.93884555730273
"206",4,3.84381373336647,0,4.015,4.01882513601518
"207",4,3.84381373336647,0,4,3.87872565946537
"208",4,3.84381373336647,0,3.79016666666667,3.80619533255225
"260",7,3.84381373336647,0,3.37383333333333,4.76980885514927
"261",7,3.84381373336647,0,4.88283333333333,5.79359270650641
"262",7,3.84381373336647,0,5.86266666666667,5.24333439475846
"263",7,3.84381373336647,0,4.719,5.26730909481324
"264",7,3.84381373336647,0,4.86916666666667,5.10223140753886
"265",7,3.84381373336647,0,6.70133333333333,6.38978463730714
"266",7,3.84381373336647,0,4.32383333333333,5.8316604822898
"267",7,3.84381373336647,0,5.465,6.08608151980538
"287",1,3.84381373336647,0,1.55683333333333,3.37458088970077
"288",1,3.84381373336647,0,1.64316666666667,3.47187009063591
"289",1,3.84381373336647,0,2.444,3.59342652798067
"290",1,3.84381373336647,0,3.676,4.50618738961511
"291",1,3.84381373336647,0,4.4685,5.62804902388524
"292",1,3.84381373336647,0,2.839,3.77275790443819
"293",1,3.84381373336647,0,2.53733333333333,3.72694295448908
"294",1,3.84381373336647,0,1.3815,3.41907174186604
"295",1,3.84381373336647,0,2.5835,3.66905004882123
"296",1,3.84381373336647,0,2.834,3.66884365793155
"297",1,3.84381373336647,0,2.5925,3.57744166243835
"298",1,3.84381373336647,0,2.47816666666667,3.7760311774294
"299",1,3.84381373336647,0,5.16466666666667,5.98760870059934
