"","Actual","ANN","OL","RF","SVM"
"1",4,3.90218516474637,0,4,3.89344958130078
"2",4,3.69544430958554,0,4.6485,4.01076692429906
"3",4,3.74709281340188,0,1.5005,3.84195057568035
"4",4,4.07645219082222,0,4.011,4.0707035336275
"5",4,3.80285423764974,0,4.12,3.84408749941659
"6",4,5.72448753354317,0,5.75533333333333,5.89411360539663
"7",4,4.57111603830624,0,4.83333333333333,4.6947511780661
"8",4,3.69995648554907,0,2.3215,3.89523249931885
"9",4,3.87356198022458,0,4,3.87348977128314
"10",4,4.11121222925111,0,4.021,4.11238765515256
"11",4,4.3781715026189,0,4.345,4.45090503471093
"12",4,3.93103962102979,0,4,3.91713554514653
"13",4,3.70375013567526,0,4.80316666666667,3.86177108908148
"14",4,4.04073912270827,0,4.038,4.02930985010006
"15",4,3.75239084695697,0,1.31,3.84184580194115
"16",4,3.72068539976716,0,3.74816666666667,3.84021816202863
"17",4,3.74119176212069,0,2.9665,3.84192855400403
"18",4,4.15587735448704,0,4.341,4.16741080565973
"19",4,3.89336214760015,0,4,3.88688777260015
"20",4,3.73797486695689,0,2.174,3.84182495796504
"21",4,3.85145938064448,0,4,3.86096415505444
"22",4,3.77116083569149,0,3.97,3.84142253825485
"23",4,3.96907857598978,0,2.3865,3.95270904433043
"78",4,3.69907251385306,0,3.9745,3.90855377264375
"79",4,3.69968496510522,0,3.41,3.89901557819162
"80",4,3.69669794424325,0,5.2235,3.96378720909864
"81",4,3.71858668208512,0,2.41816666666667,3.8401524328476
"82",4,3.72810211198868,0,3.902,3.84101221906238
"83",4,3.70754545539766,0,3.92666666666667,3.84804318344089
"84",4,3.70088578445375,0,2.8735,3.88404174828546
"85",4,3.69742189246532,0,4.0195,3.9431449209992
"86",4,3.69810983808877,0,3.9745,3.92690395787491
"87",4,3.7028374240343,0,4.88016666666667,3.86731255459196
"88",4,3.70596511482436,0,3.74233333333333,3.85234072144693
"89",4,3.69254957017706,0,6.444,4.1739045109079
"90",4,3.70728076503672,0,3.92666666666667,3.84865608965883
"91",4,3.70900330209245,0,2.3635,3.84528443123801
"92",4,3.69550298966294,0,4.6485,4.00818836316753
"93",4,3.69523410222563,0,5.149,4.02034988311067
"94",4,3.70736174434661,0,3.92666666666667,3.84846447038512
"136",8,3.69758367592246,0,3.9745,3.9390553862822
"139",3,3.69221688906989,0,5.3115,4.16958483700621
"140",3,3.69755619514054,0,3.9745,3.93973767940592
"141",3,3.84372196683926,0,4,3.85725008396852
"148",2,3.69148870488,0,2.97583333333333,3.83654572283727
"149",2,3.69156530655689,0,4,3.90931530457038
"150",2,3.69447784444505,0,2.547,4.05959457063096
"151",2,3.69152433017315,0,3.737,3.86618169412398
"152",2,3.69161350326111,0,3.976,3.9572191280305
"153",2,3.69172823530285,0,3.983,4.04417928395756
"154",2,3.69277945816916,0,3.45033333333333,4.16542768749305
"171",6,5.50318228448182,0,5.779,5.70565728441786
"172",6,6.08366600614758,0,5.80066666666667,6.13435516990255
"173",6,5.72349972006492,0,5.75533333333333,5.8933295084899
"174",6,4.96623362997789,0,5.08966666666667,5.16119336119506
"187",4,3.6917930116548,0,3.736,4.0785426819984
"188",4,3.69171395434494,0,3.943,4.03532878050466
"189",4,3.69151669149102,0,3.42966666666667,3.85860781381935
"190",4,3.69152608997075,0,3.89466666666667,3.86797223984524
"191",4,3.69172203128295,0,3.983,4.04039599342781
"192",4,3.69147701849674,0,3.444,3.83292391977205
"193",4,3.6915716759116,0,4,3.91596505262276
"194",4,3.69146087971157,0,3.865,3.84040294560027
"195",4,3.69156445375681,0,4,3.90841975407359
"196",4,3.69157347337722,0,4,3.91782790133335
"197",4,3.69162031705896,0,3.976,3.96346722700737
"198",4,3.69156518441634,0,4,3.90918711036105
"199",4,3.69166660515169,0,2.85233333333333,4.00216322454187
"200",4,3.6915398374452,0,4,3.88231783130506
"201",4,3.69154450443597,0,4,3.88726937084452
"202",4,3.69158865261863,0,3.7,3.93326953195351
"203",4,3.69152698119167,0,3.94,3.86888428460182
"204",4,3.69148543350938,0,3.27666666666667,3.83502855677327
"205",4,3.69150329061624,0,2.75366666666667,3.84652582381713
"206",4,3.69157846180537,0,3.92,3.92296215785707
"207",4,3.69150239475378,0,3.27,3.84579640353429
"208",4,3.69145646512918,0,3.865,3.84668998752648
"260",7,3.69209683681691,0,3.96666666666667,4.15854946566465
"261",7,3.69418665710197,0,3.162,4.0767662874042
"262",7,3.69268174914184,0,4.8785,4.1697128692287
"263",7,3.70115516860509,0,2.8735,3.88124357348579
"264",7,3.69293198003329,0,4.29466666666667,4.15737240051235
"265",7,3.69591346052431,0,4.911,3.99126676918288
"266",7,3.72436005093741,0,3.9615,3.84057001828559
"267",7,3.69902060410856,0,3.9745,3.90943201585187
"287",1,3.69381883869565,0,1.7575,4.09995930791282
"288",1,3.69222301316846,0,5.3115,4.16996505297032
"289",1,3.69873509183228,0,3.9745,3.91447563153345
"290",1,3.7010154536294,0,2.8735,3.88267210715912
"291",1,3.73289372185824,0,1.4325,3.8414984673994
"292",1,3.70579933089128,0,4.04933333333333,3.85289082255787
"293",1,3.78813631672564,0,4,3.84210529423202
"294",1,3.69400773638507,0,1.7575,4.08785745087684
"295",1,3.70127174992309,0,3.4455,3.8800878177926
"296",1,3.69614294523954,0,3.23,3.98260680925307
"297",1,3.69703873222434,0,5.223,3.95356696146064
"298",1,3.71554111973237,0,2.97516666666667,3.84045182626882
"299",1,3.71895684007981,0,2.41816666666667,3.84015233201739
