"","Actual","ANN","OL","RF","SVM"
"1",4,3.84297631113526,0,3.55416666666667,3.84152809697539
"2",4,3.84302201466443,0,3.96883333333333,3.84712129356722
"3",4,3.84295369233858,0,4.794,3.84216645430671
"4",4,3.8428778105151,0,4,3.88708944218838
"5",4,3.84282730944502,0,4,3.95205569968049
"6",4,3.84277548887802,0,4,4.02523880530484
"7",4,3.84286756830047,0,5,3.89858952922535
"8",4,3.84297043317648,0,3.50366666666667,3.84130447830937
"9",4,3.84298791162235,0,3.483,3.84254835424897
"10",4,3.84298288319205,0,4.33733333333333,3.84202592215711
"11",4,3.84276170985762,0,4,4.04257851052447
"12",4,3.84286859941941,0,5,3.89738277926411
"13",4,3.84292500287428,0,3.769,3.85051869410959
"14",4,3.84296026204848,0,3.96,3.84153173061326
"15",4,3.84301522785075,0,3.45966666666667,3.84628625052643
"16",4,3.84300451789074,0,3.2195,3.84478053629526
"17",4,3.84285283768995,0,4,3.91688517849082
"18",4,3.84289740983763,0,3.97,3.8684303740174
"19",4,3.84292000649769,0,2.2075,3.85301606065614
"20",4,3.84301202940988,0,2.715,3.84585224055806
"21",4,3.84285895102981,0,4,3.90906605473457
"22",4,3.84281484907571,0,4,3.97003610650487
"23",4,3.84284839540054,0,4,3.92274331341072
"78",4,3.84289398005657,0,4,3.87135414343363
"79",4,3.84317631062994,0,3.90066666666667,3.78644308076356
"80",4,3.84321879480424,0,3.34633333333333,3.77951835976446
"81",4,3.84315674163895,0,2.97766666666667,3.79758496841064
"82",4,3.84326049343317,0,1.91916666666667,3.80827932028923
"83",4,3.84301215404109,0,2.715,3.84586950642358
"84",4,3.8431129182606,0,3.57016666666667,3.82663598494844
"85",4,3.84304580485365,0,4.043,3.84833857613459
"86",4,3.84305774005644,0,3.64,3.84745700676172
"87",4,3.8429995788172,0,2.7115,3.84407057484917
"88",4,3.84294302448003,0,3.8725,3.84414459615363
"89",4,3.84309335330137,0,2.66533333333333,3.83709228551064
"90",4,3.84312799909354,0,1.62833333333333,3.81696753912671
"91",4,3.84319925351122,0,4.19416666666667,3.7789244394499
"92",4,3.84289830248472,0,3.97,3.86769415644415
"93",4,3.84344735860837,0,5.626,4.1367467447462
"94",4,3.84330912730441,0,4.8765,3.88795961009257
"136",8,3.84291637704377,0,3.7035,3.85503617918968
"139",3,3.84314567616365,0,6.07316666666667,3.80491466645115
"140",3,3.84311654132987,0,3.33866666666667,3.82441177717092
"141",3,3.84353401215404,0,4,4.15788596543348
"148",2,3.84324659275054,0,6.04966666666667,3.79429688277766
"149",2,3.84328742343684,0,3.78,3.84720905295194
"150",2,3.84320041422196,0,4.19416666666667,3.77875976927538
"151",2,3.84320889953042,0,2.40183333333333,3.77829553822158
"152",2,3.84313568901929,0,1.85416666666667,3.8117472268005
"153",2,3.84328427453381,0,3.95833333333333,3.84192059566562
"154",2,3.84330105635487,0,5.57966666666667,3.87201347240352
"171",6,3.84321221451483,0,3.007,3.77848547335226
"172",6,3.84324165878751,0,2.778,3.79039640111208
"173",6,3.84304688969,0,4.36316666666667,3.8483063385507
"174",6,3.84321746896688,0,3.34633333333333,3.77923838820423
"187",4,3.84356576749834,0,4.99,4.15407416970739
"188",4,3.84350185474684,0,4,4.15915925737731
"189",4,3.84351145351909,0,4,4.15943258521379
"190",4,3.84368283831898,0,5.272,4.16445718384678
"191",4,3.84335304679846,0,6.12316666666667,3.9830720751977
"192",4,3.84350261430277,0,4,4.15920861311379
"193",4,3.84349935715935,0,4,4.15895984809564
"194",4,3.84338226011515,0,4.50933333333333,4.04417448922807
"195",4,3.84328963186802,0,3.79966666666667,3.85102247780389
"196",4,3.8436417781249,0,4,4.15685980633647
"197",4,3.84344146610864,0,4.6555,4.13149700253566
"198",4,3.84336934911771,0,3.78,4.01807980204157
"199",4,3.84366306614277,0,5.272,4.16080361762557
"200",4,3.84355740070523,0,6.4,4.155010591363
"201",4,3.84327457073973,0,5.27933333333333,3.82679504644955
"202",4,3.84354449488678,0,4.18,4.15662237707875
"203",4,3.84350340822891,0,4,4.15925475331776
"204",4,3.84356307946792,0,6.4,4.15435953542604
"205",4,3.84359376322601,0,4,4.15246086758226
"206",4,3.84349951977468,0,4,4.15897460572596
"207",4,3.84354259728472,0,4.09,4.15686077978614
"208",4,3.84326570793206,0,1.94666666666667,3.81464215168178
"260",7,3.84341184835248,0,4.00833333333333,4.09539966420239
"261",7,3.84347235126169,0,4,4.15233401915319
"262",7,3.84335237986251,0,6.39616666666667,3.98160839660669
"263",7,3.84318680477626,0,1.8495,3.78207438827656
"264",7,3.84321162573307,0,3.007,3.77843590963897
"265",7,3.84338558160867,0,5.1345,4.05057214623005
"266",7,3.84321643215518,0,3.34633333333333,3.77904499287495
"267",7,3.84343130963493,0,5.101,4.12094867567498
"287",1,3.84317142744615,0,2.94533333333333,3.78891281519445
"288",1,3.84326575963399,0,1.94666666666667,3.81470821294882
"289",1,3.84305814075527,0,3.64,3.84740633874886
"290",1,3.84309150731468,0,5.08683333333333,3.83792007728827
"291",1,3.84328984049871,0,3.79966666666667,3.85138707052802
"292",1,3.84315372075944,0,5.20116666666667,3.79953966899758
"293",1,3.84290397767481,0,3.7335,3.86325563356497
"294",1,3.84305175763368,0,3.6265,3.84804695989728
"295",1,3.84314586776207,0,6.07316666666667,3.80478458578898
"296",1,3.84303475697646,0,2.2415,3.84818635873669
"297",1,3.84308717584904,0,3.98583333333333,3.8397427127507
"298",1,3.84307585836549,0,4.69533333333333,3.84368127370713
"299",1,3.84368052702717,0,5.272,4.16405926218813
