"","Actual","ANN","OL","RF","SVM"
"1",4,3.99142080930397,0,4,4.20487710498161
"2",4,3.99141749494761,0,2.7315,3.36294502799077
"3",4,3.99142076751398,0,3.46866666666667,3.83220924793093
"4",4,3.99142080550283,0,2.90216666666667,3.82669434580845
"5",4,3.99142079484079,0,3.9415,3.84362259172828
"6",4,3.99142081100569,0,5.73133333333333,5.82292614210718
"7",4,3.99142081092783,0,4.44333333333333,4.88100374845116
"8",4,3.99141980732204,0,3.64383333333333,3.5721258124763
"9",4,3.99142080872374,0,4,4.16886947832976
"10",4,3.99142081065,0,4.154,4.45556690782759
"11",4,3.99142081065128,0,4.3785,4.59226066916135
"12",4,3.99142080782252,0,3.9715,4.04728824414874
"13",4,3.99142027475454,0,3.63233333333333,3.65540687254754
"14",4,3.99142080992587,0,4.393,4.26375912675496
"15",4,3.99142078356729,0,3.5255,3.8970118939895
"16",4,3.99142056775219,0,2.20016666666667,3.76358362674636
"17",4,3.99142076631528,0,3.816,3.85252265618188
"18",4,3.99142081072059,0,4.233,4.49986689415343
"19",4,3.99142080776498,0,3.988,4.07025785830354
"20",4,3.99142074824774,0,3.48466666666667,3.81176674717336
"21",4,3.99142080536121,0,4.006,3.98871395929489
"22",4,3.99142078793349,0,3.9985,3.86001263559047
"23",4,3.99142080874359,0,3.78416666666667,4.11023628988362
"78",4,3.99141419588704,0,3.8865,4.08332858834104
"79",4,3.99141600131203,0,2.873,3.99413273018486
"80",4,3.99140770382709,0,3.891,4.12573772114243
"81",4,3.99142039435871,0,1.9315,3.794417777591
"82",4,3.99142047997458,0,4,3.77904664266755
"83",4,3.99141922823328,0,3.6915,3.93931747218963
"84",4,3.9914181755206,0,3.563,3.84291371092017
"85",4,3.99140960824517,0,4.087,4.15443242010666
"86",4,3.99141004243231,0,4.072,4.21774213564209
"87",4,3.99141873674127,0,3.567,3.8721863118419
"88",4,3.99141861875669,0,3.97,3.99788445109148
"89",4,3.9912626153705,0,4.6135,3.85603787368453
"90",4,3.9914192120252,0,3.7655,3.93691946355937
"91",4,3.99141900563801,0,4.3855,3.99307919163351
"92",4,3.99140522158748,0,3.67,3.96286116487864
"93",4,3.99139902373574,0,3.2555,4.09258639631041
"94",4,3.99141829350134,0,4.12983333333333,4.05743585070914
"136",8,3.76554410308741,0,3.994,3.88709505216481
"139",3,3.98609990703601,0,3.24016666666667,4.69111659616294
"140",3,3.99118618979356,0,4.94466666666667,4.17393389858835
"141",3,3.99142080402886,0,4.16533333333333,3.9508746109592
"148",2,1.98106672283804,0,2.06166666666667,1.99371313867281
"149",2,2.04056765128412,0,2.38516666666667,1.96422081654902
"150",2,3.28323169959036,0,3.39366666666667,3.43081693328854
"151",2,1.94962915770945,0,2.02,1.87399875136731
"152",2,2.15613821232567,0,2.28316666666667,2.04716091728053
"153",2,2.11505736717262,0,2.10016666666667,2.07582952117183
"154",2,2.72392786592222,0,2.7885,2.84452178347337
"171",6,3.99142081099315,0,5.75266666666667,5.66275450873466
"172",6,3.99142081100889,0,5.782,6.10581873973111
"173",6,3.9914208110035,0,5.85,5.85333158238509
"174",6,3.99142081095814,0,5.37416666666667,5.2166779956429
"187",4,3.98730833672403,0,5.3005,4.55005104432903
"188",4,3.98879054008859,0,3.996,3.96723452992357
"189",4,3.95912256006845,0,3.98,4.06363494007242
"190",4,3.96887135740662,0,4.0075,3.99580506520967
"191",4,3.98795467059893,0,3.996,4.1886921449801
"192",4,3.91854851098453,0,3.988,3.93551599016439
"193",4,3.97848043948026,0,3.994,4.10048461630401
"194",4,3.91127452858144,0,3.30933333333333,3.7667009752191
"195",4,3.9802012774157,0,4,3.97009562339739
"196",4,3.97905530857179,0,3.994,4.09014710770328
"197",4,3.98243213493591,0,4.33983333333333,4.22959302708105
"198",4,3.97591984772691,0,3.995,4.14261606001356
"199",4,3.9860500855924,0,3.991,4.19421635221623
"200",4,3.97537476200527,0,4,3.95520082503621
"201",4,3.97983849565985,0,3.802,3.8270562773191
"202",4,3.98207951241404,0,3.9125,4.04710391058694
"203",4,3.97020045559311,0,4,3.97582867008938
"204",4,3.93041420178197,0,3.9605,3.97565775577677
"205",4,3.94951355746437,0,3.974,4.03396786475169
"206",4,3.98137353323656,0,4.2775,4.01493608325279
"207",4,3.95685660222347,0,4,3.9483992725127
"208",4,3.83210401430292,0,4,3.89240458400529
"260",7,3.98907338649349,0,6.10183333333333,4.85426350873589
"261",7,3.99129788402996,0,6.253,4.74890431975944
"262",7,3.99089424619888,0,6.431,4.80345341484984
"263",7,3.9914124691489,0,5.52883333333333,4.29435468644028
"264",7,3.9911430457593,0,6.45933333333333,4.65611047061808
"265",7,3.99136677332475,0,6.48766666666667,4.66718631659254
"266",7,3.99142040375703,0,3.97,3.79834862164775
"267",7,3.99141429173116,0,3.747,4.07165554416401
"287",1,3.99139567359903,0,1.37233333333333,3.62104827290843
"288",1,3.99119237772792,0,3.2315,3.63124882866322
"289",1,3.99141648953205,0,3.8935,3.85360133101305
"290",1,3.9914183708567,0,3.5205,3.82405143083168
"291",1,3.99142051963246,0,3.4285,3.7615891390493
"292",1,3.99141908681089,0,2.9555,3.9233282886017
"293",1,3.99142066539598,0,2.9925,3.55431702096507
"294",1,3.99139902197388,0,1.37233333333333,3.62828285482773
"295",1,3.99141769499026,0,3.1615,3.93193552659145
"296",1,3.9914096046605,0,3.5175,3.92725872379138
"297",1,3.99141322958172,0,3.9235,3.88962711341563
"298",1,3.99142036805189,0,2.2215,3.7870026004287
"299",1,3.99142049200612,0,2.206,3.77266277452152
