"","Actual","ANN","OL","RF","SVM"
"1",4,3.56231984692673,0,4.0037774444772,3.87019593598487
"2",4,4.24771375427665,0,5.59940870194674,4.21431566212637
"3",4,4.24312529072409,0,3.83825035586001,4.00580951156335
"4",4,4.19593492492944,0,4.00166898918075,4.13455523049726
"5",4,4.24489463331804,0,4.11043023305823,3.77650378580236
"6",4,4.24430137432163,0,3.41757786736611,3.93876277245838
"7",4,4.24775964448416,0,4.40795385115648,3.90936518219652
"8",4,4.24759428500868,0,4.16443583467023,3.94697073317856
"9",4,4.24758712693535,0,3.8796173059767,3.89412413521536
"10",4,4.2473486712112,0,3.97136429281899,4.08455004753288
"11",4,1.61121389881093,0,2.37197435897436,2.24436798119616
"12",4,4.24764970906064,0,4.18562095445171,4.03733082587846
"13",4,4.24742550240788,0,4.05154189170589,3.99679593182501
"14",4,4.17193680531755,0,3.86123392424569,4.08186079629824
"15",4,4.17588532019431,0,3.84736541775218,4.0861898586129
"16",4,4.24727725401234,0,4.02752306314223,4.11795860580724
"17",4,3.63238600567763,0,3.73147655657791,4.02648421227638
"18",4,4.24508321073913,0,3.32760564514389,3.85716533052919
"19",4,4.24775050330329,0,4.59718169439167,3.87614809298273
"20",4,4.2327006959749,0,3.25734195167158,3.79615959471307
"21",4,4.24775961031052,0,4.09281099401362,3.87118903534233
"22",4,4.24199466837258,0,4.07576355478322,4.08712027764807
"23",4,3.99107424584064,0,4.64672709424264,4.37477239631925
"78",4,4.24588077369498,0,3.76626690765427,3.83836458380454
"79",4,4.24757204848389,0,4.17198459081535,3.93852989368594
"80",4,3.35090231909004,0,3.20486977447113,3.59728327534167
"81",4,3.79041008661713,0,4.44272408277997,3.80718939245052
"82",4,4.0429013512459,0,4.75036674567263,3.69756457262133
"83",4,4.24698505948417,0,3.80114586502553,3.94046208113688
"84",4,4.24190448820985,0,4.1777159357356,4.09483653877962
"85",4,4.23589419956519,0,3.28617863189854,3.78977104792708
"86",4,4.19182698590211,0,4.02490607420748,4.08210393116287
"87",4,4.24691736060856,0,3.87720808412486,3.8972964980711
"88",4,4.24408116960417,0,4.2155002687924,3.87967167154512
"89",4,4.24245921545421,0,4.1287040309737,4.05599131968767
"90",4,4.24638137410039,0,4.13708601405472,3.92829105319558
"91",4,1.84452420297264,0,1.78399708624709,1.82108499993143
"92",4,4.22610173259933,0,3.90235824228481,4.11384462060735
"93",4,4.23848019848336,0,4.64972842713304,4.15201062678237
"94",4,4.23017568326305,0,4.06738321368307,4.01958712401307
"136",8,4.24770559281369,0,3.52859043040667,4.02333876283078
"139",3,4.24776537361593,0,4.67236672116935,4.00282645973482
"140",3,4.24775718193322,0,4.17864683361262,3.96506548504991
"141",3,4.24280200123181,0,3.91537193271422,3.76862530616191
"148",2,4.24321573224715,0,4.01799229826196,4.00300589182817
"149",2,4.24771631078556,0,5.31511534252838,4.21317348043677
"150",2,4.24711085509587,0,4.87834718798628,4.1368987462814
"151",2,4.14297760298896,0,3.82147147835824,4.02007539074652
"152",2,4.24572400374623,0,3.5445373464076,3.7337925530483
"153",2,4.24264724632465,0,3.99444962545866,3.97081417119978
"154",2,4.24774788824327,0,3.3904583045706,3.95783507571883
"171",6,2.28523968360477,0,3.8902518037518,4.15523416696728
"172",6,4.24767202626524,0,4.36770367092754,3.69262311447999
"173",6,4.24776312958344,0,4.45665243545506,3.83959212084361
"174",6,4.24637265035168,0,4.30093503514817,3.41923903086253
"187",4,3.99443933046395,0,4.85855544994222,3.96174349014172
"188",4,4.2466184907157,0,4.08235623385435,3.96841168680646
"189",4,4.23402691513483,0,4.02929318279892,4.14783698071393
"190",4,4.07423572275895,0,5.09161600050277,3.93043706016319
"191",4,4.17992186904997,0,3.83283565584742,4.12119076714097
"192",4,4.24513897445719,0,4.17185254151967,3.9209001185554
"193",4,2.78817527791979,0,2.33110061307697,2.73086143873038
"194",4,4.2466955520004,0,4.07740228648593,3.96885041064674
"195",4,4.24760470519931,0,4.28236153551555,3.96238348732564
"196",4,4.24680091175958,0,4.06186981895347,3.9787788031857
"197",4,4.2437915020925,0,4.10489682670578,3.99208222007503
"198",4,4.24711459568443,0,4.59497493040375,4.07388550765674
"199",4,3.8612079553115,0,4.4050922146481,3.39317441909646
"200",4,4.24764407669856,0,4.30965565316261,4.00678222618477
"201",4,4.24651724713572,0,3.81753326534451,4.01252460282675
"202",4,4.24622503074425,0,4.13708601405472,3.96049956110419
"203",4,4.24744234954401,0,4.16078495711572,3.85549492292121
"204",4,4.24718182007748,0,4.16244690581607,4.15266776279016
"205",4,4.24579996927166,0,4.1744704363868,4.09557151320343
"206",4,4.24484722202285,0,4.13199194091338,3.93252201061277
"207",4,4.24753815553658,0,4.16528495711572,3.9281984846563
"208",4,4.24763598745044,0,4.17198459081535,4.0314562196869
"260",7,4.24711453575924,0,4.15272677349831,4.15118516393257
"261",7,4.2476907997039,0,4.33866075683088,4.12039168294908
"262",7,4.24720308476128,0,4.13083110495027,4.14614272151813
"263",7,4.2473325389999,0,3.88077361685209,4.09201333251541
"264",7,4.24683904759993,0,4.13049243765871,4.11921451791046
"265",7,4.23542804664238,0,4.07611048641034,4.08794846458431
"266",7,4.16799103618744,0,3.93813868615045,4.08320384915705
"267",7,4.23396856125242,0,4.2199785382931,4.16902435849622
"287",1,2.17354289978957,0,2.7846385726664,3.19387865233332
"288",1,1.59979349271369,0,1.09454578754579,1.25281788989831
"289",1,2.38976927602762,0,1.84194859597642,1.30041347899779
"290",1,1.58550948238458,0,2.06836904761905,1.68512943935717
"291",1,1.58487015970889,0,1.46970238095238,1.52426396935703
"292",1,3.74756791214581,0,4.05483971553947,4.18482460354284
"293",1,2.86906722158845,0,1.83145883573666,1.90127518010871
"294",1,1.59351773367657,0,1.18454578754579,0.942608696179722
"295",1,2.75933232686667,0,1.89116121668904,2.1235691472227
"296",1,1.58539756921659,0,1.50970238095238,1.41406732304953
"297",1,2.64627296551219,0,1.80458612511395,1.92120393148988
"298",1,4.01409412966013,0,4.35288189718778,3.3999647038503
"299",1,2.07213357907578,0,1.89385885238668,1.64404481322136
