"","Topic_1","Topic_2","Topic_3","Topic_4","Topic_5","Topic_6","Topic_7","Topic_8","Topic_9","Topic_10","Topic_11","Topic_12","Topic_13","Topic_14","Topic_15","Topic_16","Topic_17","Topic_18","Topic_19","Topic_20","Topic_21","Topic_22","Topic_23","Topic_24","Topic_25","Topic_26","Topic_27","Topic_28","Topic_29","Topic_30","Topic_31","Topic_32","Topic_33","Topic_34","Topic_35","Topic_36","Topic_37","Topic_38","Topic_39","Topic_40","Topic_41","Topic_42","Topic_43","Topic_44","Topic_45","Topic_46","Topic_47","Topic_48","Topic_49","Topic_50","GroupID"
"DorothyDay_158",2.20144486296973e-05,2.20144486296731e-05,2.20144486296272e-05,2.20144486297836e-05,2.20144486297807e-05,0.0665054112853432,2.20144486296827e-05,2.20144486296814e-05,2.20144486296901e-05,2.20144486296849e-05,2.2014448629748e-05,2.20144486297743e-05,0.0472554366561259,0.012240607291399,0.218947775424436,2.20144486296467e-05,2.20144486296685e-05,2.20144486297052e-05,2.20144486296945e-05,2.20144486297383e-05,2.20144486296994e-05,2.20144486296773e-05,2.20144486297197e-05,2.20144486296916e-05,2.20144486297113e-05,2.20144486297085e-05,0.574865180159028,2.20144486296768e-05,2.20144486297695e-05,2.20144486296914e-05,2.2014448629741e-05,2.20144486296583e-05,0.0219136034837817,2.20144486296449e-05,2.20144486297672e-05,2.20144486297249e-05,2.20144486296284e-05,2.20144486296644e-05,2.20144486296782e-05,2.20144486296392e-05,2.20144486296463e-05,2.20144486296994e-05,2.20144486297167e-05,0.0573253644088091,2.20144486296804e-05,2.20144486296926e-05,2.20144486296918e-05,2.20144486296671e-05,2.20144486297934e-05,2.2014448629645e-05,"DorothyDay_train10"
"DorothyDay_244",7.07494521262899e-06,7.07494521264544e-06,0.0174916877895903,7.07494521257751e-06,0.0046944874691236,7.07494521260537e-06,0.0695790647293473,7.07494521253903e-06,7.07494521260523e-06,7.0749452126751e-06,0.430025069584734,7.07494521256111e-06,7.07494521251573e-06,0.103571570094854,0.0169566635786166,0.0161099168636354,7.07494521260694e-06,7.07494521262242e-06,7.07494521261973e-06,7.07494521255361e-06,7.07494521258977e-06,7.07494521268774e-06,7.07494521256607e-06,7.07494521255656e-06,7.07494521248951e-06,7.07494521257436e-06,0.127049803237735,7.07494521259849e-06,7.07494521257913e-06,7.07494521252237e-06,7.07494521260795e-06,0.0633257887997145,7.07494521255843e-06,7.07494521261267e-06,7.07494521257322e-06,7.07494521252847e-06,0.0322116950368338,7.07494521257952e-06,7.07494521255273e-06,7.07494521263613e-06,7.07494521248985e-06,7.0749452126409e-06,0.0160512153046822,0.0839593744543171,7.07494521256756e-06,0.0187118900839502,7.0749452125638e-06,7.0749452125728e-06,7.07494521249319e-06,7.07494521263693e-06,"DorothyDay_train10"
"DorothyDay_572",3.00581019681514e-05,0.0021619010957312,0.0184352968446922,3.00581019681868e-05,3.00581019681765e-05,3.00581019681564e-05,3.00581019681572e-05,3.00581019681444e-05,3.00581019681507e-05,3.00581019681793e-05,0.414127525574451,3.00581019681463e-05,3.00581019681698e-05,3.00581019680473e-05,0.0713609161527856,3.00581019681835e-05,3.00581019681181e-05,3.00581019681861e-05,3.00581019681892e-05,3.00581019681749e-05,3.00581019682033e-05,0.133414421847319,3.00581019681895e-05,3.00581019682123e-05,3.00581019680946e-05,3.00581019681482e-05,3.00581019680337e-05,3.00581019681999e-05,3.00581019681639e-05,3.0058101968215e-05,3.00581019681627e-05,3.00581019681698e-05,3.00581019682139e-05,3.00581019681781e-05,3.00581019681523e-05,3.00581019681556e-05,3.00581019682848e-05,3.00581019681814e-05,3.00581019682206e-05,3.00581019681517e-05,3.00581019681674e-05,3.00581019681723e-05,3.00581019681666e-05,0.25920637607948,3.00581019681311e-05,3.00581019681589e-05,3.00581019681169e-05,3.00581019681506e-05,0.10000106402091,3.00581019681379e-05,"DorothyDay_train10"
"DorothyDay_730",4.30221356506915e-05,4.3022135650684e-05,4.30221356506406e-05,4.30221356506703e-05,4.30221356506449e-05,0.0294042110312894,4.30221356506822e-05,4.30221356506672e-05,4.30221356506512e-05,0.0222892696629558,4.30221356506533e-05,4.30221356506689e-05,4.30221356506768e-05,4.3022135650673e-05,0.283403719423463,0.0244646549529755,4.3022135650656e-05,4.30221356506361e-05,4.30221356506768e-05,4.30221356505988e-05,4.30221356506483e-05,4.30221356506914e-05,4.30221356507017e-05,4.30221356506705e-05,4.30221356508551e-05,4.30221356506905e-05,0.311700468714609,4.30221356506373e-05,4.30221356506927e-05,4.30221356506592e-05,4.30221356506469e-05,4.30221356506445e-05,4.30221356506936e-05,4.30221356506597e-05,4.30221356506529e-05,4.30221356506695e-05,4.30221356506597e-05,4.30221356506739e-05,4.30221356507025e-05,4.30221356506647e-05,4.30221356506566e-05,4.30221356506568e-05,4.30221356506901e-05,4.30221356506787e-05,4.30221356506956e-05,0.216137646007941,4.30221356506551e-05,4.30221356506689e-05,4.30221356506305e-05,0.110750078373787,"DorothyDay_train10"
"DorothyDay_179",1.45289403917149e-05,1.45289403917666e-05,1.45289403918034e-05,1.45289403917076e-05,1.45289403917366e-05,1.45289403917418e-05,1.45289403917065e-05,1.45289403917662e-05,1.45289403917214e-05,1.45289403917321e-05,0.717941698236644,0.0267018888746366,1.45289403917921e-05,0.00885260786803587,1.45289403918241e-05,1.4528940391747e-05,1.45289403917313e-05,1.45289403917149e-05,1.45289403917097e-05,1.45289403917287e-05,1.45289403917164e-05,1.45289403918241e-05,1.45289403917438e-05,1.45289403917109e-05,1.45289403917342e-05,1.45289403917718e-05,1.45289403918172e-05,1.45289403917515e-05,1.45289403917625e-05,1.45289403917481e-05,1.45289403917042e-05,0.0327448543055313,1.45289403918004e-05,1.45289403917292e-05,1.45289403917036e-05,1.45289403917121e-05,0.092715398226669,1.45289403917795e-05,1.45289403917557e-05,0.0405455321529569,1.45289403917285e-05,1.45289403918186e-05,1.45289403918154e-05,0.0798732758986813,1.4528940391753e-05,1.45289403917697e-05,1.45289403918028e-05,1.45289403917093e-05,1.45289403918095e-05,1.45289403917094e-05,"DorothyDay_train10"
"DorothyDay_563",2.23932862149835e-05,2.2393286214987e-05,2.23932862150287e-05,2.23932862149978e-05,2.2393286215e-05,2.23932862149698e-05,2.23932862149364e-05,2.2393286214962e-05,2.2393286214991e-05,2.23932862149962e-05,0.120199779539321,2.23932862149969e-05,0.00823575535466677,0.167962185225112,2.23932862150202e-05,0.0187623395777526,2.23932862150094e-05,2.23932862150088e-05,2.23932862149753e-05,2.2393286215009e-05,2.23932862149966e-05,2.23932862149715e-05,2.23932862149864e-05,0.015067890699954,2.23932862149578e-05,2.23932862149885e-05,2.23932862149925e-05,2.23932862149884e-05,2.23932862149742e-05,2.23932862149919e-05,2.23932862149799e-05,2.23932862150093e-05,2.23932862149944e-05,2.23932862149926e-05,2.23932862150091e-05,2.23932862149842e-05,2.2393286214902e-05,2.23932862149511e-05,2.23932862149991e-05,2.23932862150193e-05,2.23932862149731e-05,2.23932862149583e-05,2.23932862150046e-05,0.648875507077544,0.0199336312184059,2.23932862149874e-05,2.23932862149657e-05,2.23932862150207e-05,2.23932862149801e-05,2.23932862149561e-05,"DorothyDay_train10"
"DorothyDay_570",1.90166621300722e-05,1.9016662130065e-05,1.90166621300726e-05,1.90166621299809e-05,1.90166621300503e-05,1.90166621300688e-05,0.0914938264267417,1.90166621300568e-05,1.90166621300844e-05,1.90166621300052e-05,0.475974787688774,1.90166621300081e-05,0.0202998024189935,1.90166621300166e-05,0.043643758520458,1.90166621300061e-05,1.90166621299897e-05,1.90166621300331e-05,1.90166621300779e-05,1.90166621300794e-05,1.90166621300766e-05,0.0817579189556144,1.90166621300834e-05,1.9016662129956e-05,1.90166621300478e-05,1.90166621300433e-05,0.199259295087264,1.90166621301313e-05,1.90166621300878e-05,1.90166621300765e-05,1.90166621300737e-05,0.0452617066732019,1.90166621300587e-05,1.90166621300601e-05,1.90166621300689e-05,1.90166621300251e-05,0.00834309806386606,1.90166621300959e-05,1.90166621300451e-05,1.90166621300716e-05,1.90166621300515e-05,1.90166621300835e-05,1.90166621300731e-05,1.90166621301018e-05,1.90166621300588e-05,1.90166621300722e-05,1.90166621300546e-05,1.90166621300664e-05,0.0331861230177537,1.90166621301298e-05,"DorothyDay_train10"
"DorothyDay_399",3.10693559224489e-05,3.106935592245e-05,0.0820139021033098,3.10693559224143e-05,3.10693559224284e-05,3.10693559224278e-05,3.10693559224419e-05,3.10693559224193e-05,3.10693559224321e-05,3.10693559224288e-05,0.0144852577277262,3.10693559224016e-05,3.10693559224285e-05,0.0968028456800801,3.10693559224202e-05,3.10693559224422e-05,3.10693559223682e-05,3.10693559224585e-05,3.10693559224221e-05,3.10693559224867e-05,3.1069355922424e-05,3.10693559224274e-05,3.10693559224134e-05,3.10693559224563e-05,3.1069355922428e-05,3.10693559224283e-05,3.10693559223601e-05,3.10693559223837e-05,3.10693559224239e-05,3.1069355922443e-05,3.10693559224241e-05,3.10693559224494e-05,3.10693559223513e-05,3.1069355922434e-05,3.1069355922466e-05,0.0263085415828231,0.136652513734201,3.10693559224787e-05,3.10693559224182e-05,0.0125329916031057,3.10693559224522e-05,3.10693559224416e-05,3.10693559224436e-05,0.62986796526409,3.10693559224634e-05,3.10693559224518e-05,3.10693559223978e-05,3.10693559224222e-05,3.10693559223702e-05,3.10693559224647e-05,"DorothyDay_train10"
"DorothyDay_448",4.0930790333945e-05,4.09307903339329e-05,0.235115871529063,4.09307903339425e-05,4.09307903339434e-05,4.09307903339348e-05,4.09307903339353e-05,4.09307903339391e-05,4.09307903339695e-05,4.09307903339563e-05,0.547207244941112,4.09307903339033e-05,4.0930790333923e-05,0.168521389386064,0.0147571620557785,4.09307903338901e-05,4.09307903338984e-05,4.093079033394e-05,4.09307903339107e-05,4.09307903339359e-05,4.09307903339359e-05,4.09307903339125e-05,4.0930790333954e-05,4.09307903339773e-05,4.09307903339115e-05,4.09307903339107e-05,4.09307903339782e-05,4.09307903339309e-05,4.09307903339316e-05,4.09307903339796e-05,4.09307903339046e-05,4.09307903339285e-05,4.09307903339577e-05,0.0325564465229549,4.093079033391e-05,4.093079033396e-05,4.09307903339014e-05,4.09307903339048e-05,4.09307903339081e-05,4.09307903339396e-05,4.09307903339495e-05,4.09307903339363e-05,4.09307903339538e-05,4.09307903339591e-05,4.09307903339499e-05,4.0930790333895e-05,4.09307903339247e-05,4.09307903339748e-05,4.09307903339004e-05,4.09307903339197e-05,"DorothyDay_train10"
"DorothyDay_719",1.53138972340374e-05,1.5313897234052e-05,0.0512717944201972,1.53138972340563e-05,1.53138972340883e-05,1.53138972339911e-05,1.53138972340161e-05,1.53138972340478e-05,1.53138972339695e-05,1.5313897233961e-05,0.5061998629572,1.53138972340001e-05,1.5313897233983e-05,0.0599696797051395,1.53138972340599e-05,1.53138972339876e-05,1.5313897233953e-05,1.53138972339973e-05,1.53138972339274e-05,1.53138972339966e-05,1.53138972339776e-05,1.53138972340713e-05,1.53138972340087e-05,1.53138972340045e-05,1.53138972339809e-05,1.53138972340334e-05,1.53138972340423e-05,1.53138972340113e-05,0.0125379932306767,1.53138972340511e-05,1.53138972340425e-05,1.53138972339657e-05,1.53138972340803e-05,1.53138972339733e-05,1.53138972339656e-05,1.53138972340051e-05,0.0786516048495145,1.53138972340495e-05,1.53138972339807e-05,1.53138972340043e-05,1.53138972339843e-05,1.53138972339972e-05,1.53138972340457e-05,0.290695253358976,1.5313897234004e-05,1.5313897234018e-05,1.53138972339909e-05,1.53138972339647e-05,1.53138972340803e-05,1.53138972339813e-05,"DorothyDay_train10"
