"","t.cvCosineSim.","groupName"
"X0",0.98749235141979,"PastorAnderson_train14"
"V2",0.986486619231778,"PastorAnderson_train14"
"V3",0.987213875999034,"PastorAnderson_train14"
"V4",0.986234862261514,"PastorAnderson_train14"
"V5",0.985919152936392,"PastorAnderson_train14"
"V6",0.987106913924783,"PastorAnderson_train14"
"V7",0.988497876778673,"PastorAnderson_train14"
"V8",0.988963956455102,"PastorAnderson_train14"
"V9",0.986376649599086,"PastorAnderson_train14"
"V10",0.988740112584966,"PastorAnderson_train14"
