,group,filepath,subgroup
0,DorothyDay,./data_dsicap/DorothyDay/raw/341.html.txt,train60
1,DorothyDay,./data_dsicap/DorothyDay/raw/813.html.txt,train46
2,DorothyDay,./data_dsicap/DorothyDay/raw/856.html.txt,test02
3,DorothyDay,./data_dsicap/DorothyDay/raw/479.html.txt,train41
4,DorothyDay,./data_dsicap/DorothyDay/raw/824.html.txt,train41
5,DorothyDay,./data_dsicap/DorothyDay/raw/322.html.txt,train08
6,DorothyDay,./data_dsicap/DorothyDay/raw/892.html.txt,train48
7,DorothyDay,./data_dsicap/DorothyDay/raw/217.html.txt,train39
8,DorothyDay,./data_dsicap/DorothyDay/raw/200.html.txt,train62
9,DorothyDay,./data_dsicap/DorothyDay/raw/897.html.txt,train29
10,DorothyDay,./data_dsicap/DorothyDay/raw/840.html.txt,train58
11,DorothyDay,./data_dsicap/DorothyDay/raw/768.html.txt,train01
12,DorothyDay,./data_dsicap/DorothyDay/raw/420.html.txt,train40
13,DorothyDay,./data_dsicap/DorothyDay/raw/739.html.txt,train01
14,DorothyDay,./data_dsicap/DorothyDay/raw/600.html.txt,train24
15,DorothyDay,./data_dsicap/DorothyDay/raw/248.html.txt,train43
16,DorothyDay,./data_dsicap/DorothyDay/raw/809.html.txt,test06
17,DorothyDay,./data_dsicap/DorothyDay/raw/487.html.txt,train44
18,DorothyDay,./data_dsicap/DorothyDay/raw/868.html.txt,train66
19,DorothyDay,./data_dsicap/DorothyDay/raw/912.html.txt,train39
20,DorothyDay,./data_dsicap/DorothyDay/raw/470.html.txt,train52
21,DorothyDay,./data_dsicap/DorothyDay/raw/300.html.txt,train34
22,DorothyDay,./data_dsicap/DorothyDay/raw/195.html.txt,train60
23,DorothyDay,./data_dsicap/DorothyDay/raw/503.html.txt,train30
24,DorothyDay,./data_dsicap/DorothyDay/raw/428.html.txt,train11
25,DorothyDay,./data_dsicap/DorothyDay/raw/251.html.txt,train67
26,DorothyDay,./data_dsicap/DorothyDay/raw/928.html.txt,train17
27,DorothyDay,./data_dsicap/DorothyDay/raw/515.html.txt,train47
28,DorothyDay,./data_dsicap/DorothyDay/raw/843.html.txt,train41
29,DorothyDay,./data_dsicap/DorothyDay/raw/202.html.txt,train21
30,DorothyDay,./data_dsicap/DorothyDay/raw/331.html.txt,train49
31,DorothyDay,./data_dsicap/DorothyDay/raw/898.html.txt,train18
32,DorothyDay,./data_dsicap/DorothyDay/raw/783.html.txt,train44
33,DorothyDay,./data_dsicap/DorothyDay/raw/705.html.txt,test01
34,DorothyDay,./data_dsicap/DorothyDay/raw/206.html.txt,train61
35,DorothyDay,./data_dsicap/DorothyDay/raw/145.html.txt,train32
36,DorothyDay,./data_dsicap/DorothyDay/raw/374.html.txt,train45
37,DorothyDay,./data_dsicap/DorothyDay/raw/804.html.txt,train08
38,DorothyDay,./data_dsicap/DorothyDay/raw/583.html.txt,train62
39,DorothyDay,./data_dsicap/DorothyDay/raw/712.html.txt,train36
40,DorothyDay,./data_dsicap/DorothyDay/raw/349.html.txt,train31
41,DorothyDay,./data_dsicap/DorothyDay/raw/792.html.txt,train62
42,DorothyDay,./data_dsicap/DorothyDay/raw/638.html.txt,train63
43,DorothyDay,./data_dsicap/DorothyDay/raw/853.html.txt,test02
44,DorothyDay,./data_dsicap/DorothyDay/raw/767.html.txt,train55
45,DorothyDay,./data_dsicap/DorothyDay/raw/946.html.txt,train07
