,groupId,files,timeRun,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC
0,WBC_train37,7,7.654543876647949,0.09351659157764548,0.07523471987363271,0.7142857142857143,0.2857142857142857,27.857142857142858,0.22773192389073954,0.7221461694164673,0.7536304608570219
1,DorothyDay_train42,10,7.126071929931641,0.08871454077034538,0.046481751358637385,0.9,0.09999999999999998,11.9,0.16793117887452721,0.6757864716078251,0.7815788981891064
2,Shepherd_train43,10,11.914077997207642,0.09059008127574968,0.055557839032541134,0.9,0.09999999999999998,16.3,0.05403277322090333,0.6018344983880961,0.5180036950654457
3,DorothyDay_train66,10,11.077899932861328,0.0890916747025988,0.04033709537750214,1.0,0.0,24.2,0.17500767423507335,0.7491143854073352,0.7036565457950263
4,JohnPiper_train01,10,9.628642082214355,0.10006158104063526,0.039256673444194104,1.0,0.0,19.4,0.13420480733004814,0.6756719490931917,0.793009293023717
5,Shepherd_train05,10,11.738783836364746,0.09534451146154996,0.05817589293541921,1.0,0.0,19.0,0.06597485929543856,0.5732517158995966,0.6819745503069403
6,Shepherd_train11,10,11.034219980239868,0.10099251771073454,0.05788012817489256,0.9,0.09999999999999998,16.9,0.06266910364868589,0.4825855106542229,0.6078208387000206
7,NaumanKhan_train04,10,22.694644927978516,0.08637071921045729,0.04107620061646075,1.0,0.0,47.7,0.11318673380660611,0.6112188600472331,0.679526722252515
8,Unitarian_train04,10,15.889909982681274,0.09786139151340308,0.048371619306485536,1.0,0.0,26.6,0.11312883986478009,0.5817241610701096,0.7071357275765473
9,JohnPiper_train10,10,9.460884094238281,0.1065971722206736,0.053433118643538356,1.0,0.0,17.6,0.12233817496867158,0.6184016885181041,0.6517062690066607
10,Shepherd_train32,10,10.95591402053833,0.10023027284318424,0.056016899941733075,1.0,0.0,15.6,0.07245406246965087,0.5289829509136065,0.5685782321571716
11,Shepherd_train08,10,11.175509214401245,0.09932025432791637,0.05332398940727667,1.0,0.0,16.4,0.06448231564038862,0.5361545873174527,0.5318640901741021
12,Shepherd_train27,10,12.854049921035767,0.09586731365828097,0.059650605204535655,1.0,0.0,20.6,0.0649099907415224,0.5335428485382347,0.5983981711734008
13,Rabbinic_train00,10,9.121387958526611,0.09944012483292766,0.03193900440802089,1.0,0.0,23.7,0.25087976189644456,0.6514673868409542,0.7033303494365397
14,Unitarian_train13,10,15.323615074157715,0.09995829781539341,0.04795350184697457,1.0,0.0,25.8,0.1282575003356385,0.6223260781962024,0.5244802776885582
15,PastorAnderson_train10,10,38.60116910934448,0.08586679316924024,0.04434813096902591,0.9,0.09999999999999998,55.3,0.06373675032061303,0.6967882792793312,0.8681396306192118
16,PastorAnderson_train12,10,38.27570700645447,0.0848983520864254,0.052216772677600685,1.0,0.0,58.0,0.07619694253450646,0.6658393791328189,0.7151498946115693
17,PastorAnderson_train11,10,35.83008289337158,0.08338152992670164,0.055515217737495584,0.9,0.09999999999999998,54.8,0.07155396534912571,0.6309273200378546,0.7628998797409945
18,WBC_train04,10,12.195763111114502,0.07998370456291129,0.08634518045949342,0.4,0.6,26.1,0.1667799022744545,0.692003041219966,0.744588712913554
19,Shepherd_train60,10,10.5779390335083,0.10172321740170431,0.055456787035112295,1.0,0.0,15.8,0.06105492697698992,0.548719641830909,0.5338491713136264
20,PastorAnderson_test02,3,10.41797399520874,0.08677884817888754,0.04901119902178055,1.0,0.0,77.33333333333333,0.131459294255018,0.6112029925676891,0.7901551640275515
21,WBC_train10,10,10.41369891166687,0.08365426578037263,0.07814210277335845,0.6,0.4,22.9,0.2105685498525717,0.6751303794662158,0.7365966796835901
22,JohnPiper_train26,10,9.188773155212402,0.09493665753358209,0.053400667557629365,0.9,0.09999999999999998,19.0,0.129635095638757,0.6791280213323183,0.766980144680521
23,DorothyDay_train68,10,7.635271072387695,0.08482319071389033,0.034866681526416074,1.0,0.0,17.3,0.21799756534543552,0.6626367148119103,0.6970728118836581
24,DorothyDay_train10,10,5.730674982070923,0.087368029018318,0.039352581561109976,1.0,0.0,9.3,0.13159151429483984,0.6326283953231191,0.7336195702038697
25,WBC_train01,10,14.613025903701782,0.07895777458465023,0.07441000551220243,0.6,0.4,34.4,0.18484705107273008,0.6578857515584646,0.6739726253255102
26,WBC_train03,10,11.773952007293701,0.07783170186676037,0.07183352484413667,0.6,0.4,26.1,0.17301895974589315,0.6979776242721673,0.7399434536903498
27,PastorAnderson_train07,10,33.94323515892029,0.0893940959309552,0.0509993003393062,1.0,0.0,54.2,0.07377588103241448,0.658917560998386,0.7039115694778297
28,WBC_train24,10,11.306997060775757,0.08373441427770958,0.07169780318229949,0.7,0.30000000000000004,27.0,0.19372950882605877,0.6935322326842944,0.701950751437049
29,JohnPiper_train04,10,10.186856985092163,0.09749518561429801,0.04913274436948946,1.0,0.0,18.6,0.10959738370146536,0.6672180407166832,0.6802593053199038
30,Shepherd_train51,10,10.143399000167847,0.09397965140395907,0.0647691854089886,0.9,0.09999999999999998,15.3,0.0639024892492285,0.5597666972848163,0.620964317610951
