,group,filepath,subgroup
0,DorothyDay,./data_dsicap/DorothyDay/raw/581.html.txt,train23
1,DorothyDay,./data_dsicap/DorothyDay/raw/370.html.txt,train43
2,DorothyDay,./data_dsicap/DorothyDay/raw/374.html.txt,train44
3,DorothyDay,./data_dsicap/DorothyDay/raw/220.html.txt,train21
4,DorothyDay,./data_dsicap/DorothyDay/raw/276.html.txt,train42
5,DorothyDay,./data_dsicap/DorothyDay/raw/429.html.txt,test15
6,DorothyDay,./data_dsicap/DorothyDay/raw/866.html.txt,train19
7,DorothyDay,./data_dsicap/DorothyDay/raw/464.html.txt,train11
8,DorothyDay,./data_dsicap/DorothyDay/raw/891.html.txt,train46
9,DorothyDay,./data_dsicap/DorothyDay/raw/515.html.txt,test03
10,DorothyDay,./data_dsicap/DorothyDay/raw/852.html.txt,train43
11,DorothyDay,./data_dsicap/DorothyDay/raw/676.html.txt,train28
12,DorothyDay,./data_dsicap/DorothyDay/raw/579.html.txt,test19
13,DorothyDay,./data_dsicap/DorothyDay/raw/270.html.txt,test23
14,DorothyDay,./data_dsicap/DorothyDay/raw/161.html.txt,test10
15,DorothyDay,./data_dsicap/DorothyDay/raw/694.html.txt,train52
16,DorothyDay,./data_dsicap/DorothyDay/raw/861.html.txt,test06
17,DorothyDay,./data_dsicap/DorothyDay/raw/596.html.txt,test09
18,DorothyDay,./data_dsicap/DorothyDay/raw/834.html.txt,train48
19,DorothyDay,./data_dsicap/DorothyDay/raw/454.html.txt,train52
20,DorothyDay,./data_dsicap/DorothyDay/raw/317.html.txt,train48
21,DorothyDay,./data_dsicap/DorothyDay/raw/283.html.txt,test20
22,DorothyDay,./data_dsicap/DorothyDay/raw/513.html.txt,train24
23,DorothyDay,./data_dsicap/DorothyDay/raw/902.html.txt,train16
24,DorothyDay,./data_dsicap/DorothyDay/raw/203.html.txt,test04
25,DorothyDay,./data_dsicap/DorothyDay/raw/15.html.txt,train24
26,DorothyDay,./data_dsicap/DorothyDay/raw/452.html.txt,train40
27,DorothyDay,./data_dsicap/DorothyDay/raw/631.html.txt,train36
28,DorothyDay,./data_dsicap/DorothyDay/raw/666.html.txt,train37
29,DorothyDay,./data_dsicap/DorothyDay/raw/385.html.txt,train17
30,DorothyDay,./data_dsicap/DorothyDay/raw/594.html.txt,train31
31,DorothyDay,./data_dsicap/DorothyDay/raw/793.html.txt,train14
32,DorothyDay,./data_dsicap/DorothyDay/raw/863.html.txt,train07
33,DorothyDay,./data_dsicap/DorothyDay/raw/42.html.txt,test03
34,DorothyDay,./data_dsicap/DorothyDay/raw/440.html.txt,train10
35,DorothyDay,./data_dsicap/DorothyDay/raw/214.html.txt,train49
36,DorothyDay,./data_dsicap/DorothyDay/raw/941.html.txt,train47
37,DorothyDay,./data_dsicap/DorothyDay/raw/812.html.txt,train07
38,DorothyDay,./data_dsicap/DorothyDay/raw/13.html.txt,test01
39,DorothyDay,./data_dsicap/DorothyDay/raw/301.html.txt,test01
40,DorothyDay,./data_dsicap/DorothyDay/raw/389.html.txt,test16
41,DorothyDay,./data_dsicap/DorothyDay/raw/574.html.txt,train53
42,DorothyDay,./data_dsicap/DorothyDay/raw/527.html.txt,test21
43,DorothyDay,./data_dsicap/DorothyDay/raw/217.html.txt,test05
44,DorothyDay,./data_dsicap/DorothyDay/raw/583.html.txt,train01
45,DorothyDay,./data_dsicap/DorothyDay/raw/242.html.txt,test18
46,DorothyDay,./data_dsicap/DorothyDay/raw/909.html.txt,train24
47,DorothyDay,./data_dsicap/DorothyDay/raw/651.html.txt,test09
48,DorothyDay,./data_dsicap/DorothyDay/raw/788.html.txt,test18
49,DorothyDay,./data_dsicap/DorothyDay/raw/890.html.txt,train40
50,DorothyDay,./data_dsicap/DorothyDay/raw/658.html.txt,train30
