,estimator,depth,bs,split,feature,accuracy
0,10,5,True,1,auto,0.8571428571428571
1,10,5,True,2,auto,0.8571428571428571
2,10,5,True,3,auto,0.8673469387755102
3,10,5,True,1,sqrt,0.826530612244898
4,10,5,True,2,sqrt,0.826530612244898
5,10,5,True,3,sqrt,0.826530612244898
6,10,5,True,1,log2,0.8775510204081632
7,10,5,True,2,log2,0.8775510204081632
8,10,5,True,3,log2,0.8673469387755102
9,10,5,False,1,auto,0.8469387755102041
10,10,5,False,2,auto,0.8469387755102041
11,10,5,False,3,auto,0.8469387755102041
12,10,5,False,1,sqrt,0.8061224489795918
13,10,5,False,2,sqrt,0.8061224489795918
14,10,5,False,3,sqrt,0.8061224489795918
15,10,5,False,1,log2,0.8877551020408163
16,10,5,False,2,log2,0.8877551020408163
17,10,5,False,3,log2,0.8877551020408163
18,10,10,True,1,auto,0.8775510204081632
19,10,10,True,2,auto,0.8775510204081632
20,10,10,True,3,auto,0.8673469387755102
21,10,10,True,1,sqrt,0.8673469387755102
22,10,10,True,2,sqrt,0.8673469387755102
23,10,10,True,3,sqrt,0.8571428571428571
24,10,10,True,1,log2,0.8877551020408163
25,10,10,True,2,log2,0.8877551020408163
26,10,10,True,3,log2,0.8979591836734694
27,10,10,False,1,auto,0.8367346938775511
28,10,10,False,2,auto,0.8367346938775511
29,10,10,False,3,auto,0.8367346938775511
30,10,10,False,1,sqrt,0.8673469387755102
31,10,10,False,2,sqrt,0.8673469387755102
32,10,10,False,3,sqrt,0.8775510204081632
33,10,10,False,1,log2,0.8775510204081632
34,10,10,False,2,log2,0.8775510204081632
35,10,10,False,3,log2,0.9081632653061225
36,10,15,True,1,auto,0.8775510204081632
37,10,15,True,2,auto,0.8775510204081632
38,10,15,True,3,auto,0.8673469387755102
39,10,15,True,1,sqrt,0.8673469387755102
40,10,15,True,2,sqrt,0.8673469387755102
41,10,15,True,3,sqrt,0.8469387755102041
42,10,15,True,1,log2,0.8877551020408163
43,10,15,True,2,log2,0.8877551020408163
44,10,15,True,3,log2,0.8979591836734694
45,10,15,False,1,auto,0.8367346938775511
46,10,15,False,2,auto,0.8367346938775511
47,10,15,False,3,auto,0.8367346938775511
48,10,15,False,1,sqrt,0.8673469387755102
49,10,15,False,2,sqrt,0.8673469387755102
50,10,15,False,3,sqrt,0.8775510204081632
51,10,15,False,1,log2,0.8775510204081632
